title,units,description
PHIL 100 - Logic,3,"Study of correct reasoning. Sentential logic, informal fallacies, and certain paradigms of inductive reasoning. Nature of language, artificial and natural."
PHIL 210 - Ancient Philosophy,3,"A survey of the main thinkers and themes in the Western tradition, from the Pre-Socratics through the Middle Ages, including Socrates, Plato, and Aristotle."
PHIL 211 - Modern Philosophy,3,"A survey of the main thinkers and themes in the Western tradition from the 17th century through the 19th century, including rationalist and empiricist philosophers."
PHIL 303 - Theories of Ethics,3,"Ethical theories of Western philosophical tradition: Plato, Aristotle, Hume, Kant, Mill. Contemporary metaethical concerns of definition and justification."
PHIL 371 - Contemporary Social and Political Philosophy,3,"A critical study of the main contemporary Western theories of the ideal state and how these theories deal with such core political values as justice, liberty, equality, and community."
PHIL 420 - Contemporary Epistemology and Metaphysics,3,What exists? What are the basic categories of being? What does it mean to know? Are there different kinds or sources of knowing?
PHIL 425 - Philosophy of Science,3,"Critical examination of aims, assumptions, and norms of science. Nature of satisfactory explanations, nature of theories and their criteria of acceptability. Study of scientific progress, limits of science, reasoning in science & scientific method."
PHIL 485 - Seminar in Philosophy,3,"Intensive study of a philosophical movement, philosophical problem, writings of a philosopher, or a subdiscipline (for example, philosophy of mind)."
PHIL 301 - Reflections on the Arts,3,"Theories of art as they emphasize or suppress one or more dimensions of artistic creation and aesthetic experience: form, feeling, realism, fantasy. Judgments of taste, style, and excellence."
PHIL 302 - Environmental Ethics,3,Critique approaches to relationship between human beings and the environment.
PHIL 304 - Philosophy of Sex and Love,3,"Analysis of metaphysical and moral issues relating to sex and love, such as: What is love? What sexual activities are natural, moral, perversions? Friendship, adultery, pornography, prostitution, homosexuality, and same-sex marriage."
"PHIL 306 - Race, Racism and Philosophy",3,"A philosophical study of the conceptual, metaphysical, moral, and social political issues surrounding race and racism."
PHIL 307 - Philosophy of Law,3,"Analyze various philosophical perspectives regarding topics such as: the nature of law and legal reasoning, the relationship between morality and law, theories of punishment, civil disobedience, and other relevant topics."
PHIL 309B - Perspectives: Humanities/Science/ Social Science,3,"Critique perspectives, modes of inquiry, and products of the humanities, biological and physical sciences, social and behavioral sciences, and their relationships."
PHIL 349 - Latin American Philosophy,3,"Surveys the historical development of philosophy in Latin America from the Pre-Colonial period to the present.  Topics may include its development and uniqueness, and its relationship to colonialism and identity."
PHIL 355 - Existentialism,3,"Principal existential philosophers of 19th and 20th centuries, such as Kierkegaard, Heidegger, Nietzsche, Sartre, Marcel, Buber."
PHIL 415 - Symbolic Logic,3,"Quantifiable logic, including logic of relations; properties of axiomatic systems; many-valued logic; modal logic and its extensions."
PHIL 345 - Philosophies of China,3,"Classic texts in Taoism, Confucianism, Buddhism, and I Ching. Focus on unifying concepts amid differences. Compare to Western philosophies. China encountering multiculturalism from within and without."
PHIL 346 - Philosophies of India,3,"Classic themes of Indian philosophy. Selections from Rig Veda, Upanishads, Bhagavad-Gita, Buddhism, and Shankara. Compare to Western philosophies. India encountering multiculturalism from within and without."
