title,units,description
CHEM 109 - General Chemistry I,5,"Fundamental concepts: chemical foundations, stoichiometry, chemical reactions, gases, thermochemistry, atomic theory, bonding, liquids, solutions. For students in science, engineering, and related majors."
CHEM 110 - General Chemistry II,5,"Fundamental concepts: kinetics; equilibrium; acids and bases; acid-base, solubility, and complex ion equilibria; entropy and free energy; electrochemistry; qualitative analysis. For students in science, engineering, and related majors."
MATH 109 - Calculus I,4,"Limits, continuity, derivatives, integrals, and their applications."
MATH 110 - Calculus II,4,"Logarithmic and exponential functions, inverse trigonometric functions, techniques of integration, infinite sequences and series, conic sections, polar coordinates."
MATH 210 - Calculus III,4,Vectors; parametric equations; 3-dimensional analytic geometry; vector- valued functions; partial derivatives; multiple integrals; introduction to line integrals.
PHYX 109 - General Physics A: Mechanics,4,"Calculus-based, for science/engineering students."
"PHYX 210 - General Physics B: Thermodynamics, Waves and Optics",4,"Calculus-based, for science/ engineering students."
"PHYX 211 - General Physics C: Electricity, Magnetism",4,"Calculus-based, for science/ engineering students."
CHEM 310 - Inorganic Chemistry I,3,"Advanced concepts: nuclear properties, molecular symmetry, bonding, metallic and ionic solids, acids and bases, oxidation-reduction, non-aqueous media, chemistry and organometallic compounds of the representative elements."
CHEM 330 - Molecular Modeling,3,"Apply molecular modeling and computational chemistry methods (semiempirical, ab initio, and density functional) to problems in organic and inorganic chemistry, biochemistry, and molecular biology."
CHEM 323 - Nuclear Magnetic Resonance Spectroscopy (NMR) Techniques,1,Operate NMR spectrometer; prepare samples. Individual projects.
CHEM 324 - Organic Chemistry I,3,"First semester of a one-year sequence. Chemical bonding, chemical structure, spectroscopy, physical properties, stereochemistry, reaction mechanisms, and synthesis."
CHEM 324L - Organic Chemistry I Laboratory,2,"First semester of a year-long sequence. Laboratory techniques, library skills, and synthesis."
CHEM 325 - Organic Chemistry II,3,"Second semester of a one-year sequence. Chemical bonding, chemical structure, spectroscopy, physical properties, stereochemistry, reaction mechanisms, and synthesis."
CHEM 325L - Organic Chemistry II Laboratory,2,"Second semester of a year-long sequence. Laboratory techniques, spectroscopy, library skills, unknown analysis, and synthesis."
CHEM 341 - Quantitative Analysis,5,Principles and methods of classical chemical analysis. Introduction to instrumental methods. For chemistry majors and others who require a rigorous treatment of solution equilibria and training in precise quantitative lab techniques.
CHEM 361 - Physical Chemistry I,3,Application of quantitative mathematical methods to fundamental chemical systems: equilibrium thermodynamics and chemical kinetics.
CHEM 362 - Physical Chemistry II,3,"Application of quantitative mathematical methods to fundamental chemical systems: quantum theory, spectroscopy, and statistical thermodynamics."
CHEM 363 - Physical Chemistry II Lab,2,"Experimental application of quantitative mathematical methods to fundamental chemical systems: laboratory investigations in equilibrium thermodynamics, chemical kinetics, quantum theory, spectroscopy, and statistical thermodynamics."
CHEM 410 - Inorganic Chemistry II,3,"Advanced concepts: chemistry and organometallic compounds of the transition metals, the lanthanoids, and the actinoids; reaction mechanisms; catalysis; solid state chemistry."
CHEM 410L - Inorganic Chemistry II Lab,2,"Advanced laboratory and instrumentation techniques: synthesis, characterization, and reactions of inorganic and organometallic compounds."
CHEM 438 - Introductory Biochemistry,4,"Brief course in biochemistry. The chemistry of amino acids, proteins, nucleic acids, lipids and carbohydrates. Includes enzyme kinetics, bioenergetics, structure and function of biological membranes, discussion of common laboratory methods."
CHEM 441 - Instrumental Analysis,4,Principles and methods. For chemistry majors and others requiring training in instrumental techniques of analysis.
CHEM 485 - Seminar in Chemistry,1,Seminar presentations on current chemistry topics by majors with senior standing in chemistry. Capstone course. All chemistry majors are encouraged to attend.
