title,units,description
CHEM 109 - General Chemistry I,5,"Fundamental concepts: chemical foundations, stoichiometry, chemical reactions, gases, thermochemistry, atomic theory, bonding, liquids, solutions. For students in science, engineering, and related majors."
GEOL 109 - General Geology,4,"Physical geology. Origin and constitution of the earth, internal and external processes that determine crustal and surficial features, and methods in investigating and interpreting earth history."
GEOL 110 - Field Geology of the Western US,1-2,Investigation of the geologic processes that created selected locales in the western US. Lectures/discussions with extended field trip. The geology will be examined and described by members of the class.
GEOL 210 - Earth Systems History,3,"Evolution of Earth as an integrated system emphasizing the geological, climatological and biological forces that have shaped it, focusing on North America. Topics focused on geologic time scale and deep time, plate tectonic cycles, fossils and history of life, and the natural and anthropogenic climate history of the Earth."
MATH 109 - Calculus I,4,"Limits, continuity, derivatives, integrals, and their applications."
PHYX 106 - College Physics: Mechanics and Heat,4,"Non-Calculus, for science majors. Mechanics, fluids, heat, sound."
STAT 108 - Elementary Statistics,3,"Rudimentary data collection, descriptive statistics of univariate and bivariate data, probability, random variables, discrete and continuous distributions. Foundational concepts of confidence intervals and hypothesis tests. Use and abuse of statistics."
STAT 108I - Elementary Statistics with Integrated Support,3,"Introductory statistics with integrated support to aid comprehension. Data collection, descriptive statistics, bivariate data, probability, probability distributions. Foundational concepts of confidence intervals and hypothesis tests. Use and abuse of statistics. Open to students in Math placement category III or IV."
STAT 109 - Introductory Biostatistics,4,"Descriptive statistics, probability, random variables, discrete and continuous distributions, confidence intervals, contingency tests, regression and correlation, tests of hypothesis, analysis of variance. Emphasis: methods and applications used in the biological and natural resource sciences."
GEOL 300 - Geology of California,3,"Examine the rocks, landscapes and geologic development of California’s major geologic provinces. Investigate the role of the state’s tectonic setting and geologic history on topics such as seismic hazard, geologic record of climate change, and water, mineral and energy resources in the Golden State. Cannot count for geology majors as upper division geology area of specialization."
GEOL 300L - Geology of California Field Trip,1,"Three weekends field trips or one 5-day field trip, through geologic provinces of northern California: the Coast Ranges, Klamath Mountains, Cascade Range, Modoc Plateau, northern Sierra Nevada, and Great Valley. Cannot count for geology majors as upper division geology area of specialization."
GEOL 303 - Earth Resources and Global Environmental Change,3,"Origins, occurrence, and limits of important energy, mineral, and water resources. Societal and environmental impacts of resource use and global climate change. Cannot count for geology majors as upper division geology area of specialization."
GEOL 308 - Natural Disasters,3,"Mitigating geologic hazards through technology, behavioral and cultural adaptation, risk assessment and prediction, and communication of hazard information. Case studies of earthquakes, volcanoes, tsunamis, hurricanes, floods, landslides, and climate change. Cannot count for geology majors as upper division geology area of specialization."
GEOL 306 - General Geomorphology,3,"Origin and development of landforms, landform classification, geomorphic processes. Methods of geomorphological analysis, topographic map interpretation, and aerial photo interpretation. May require two weekend field trips."
GEOL 312 - Earth Materials,4,"Description, identification, and classification of minerals and igneous, sedimentary, and metamorphic rocks in hand specimen. Occurrence and use of earth materials."
GEOL 332 - Sedimentary Geology,4,Identification and interpretation of sedimentary rocks and structures. Application of stratigraphic and dating methods in the earth sciences. Impact of climate and geologic processes on depositional patters and facies analysis. May require two weekend field trips.
GEOL 335 - Geologic Field Methods I,2,"In-class and weekend field projects, map literacy, compass orienteering and measurements, geologic mapping, field note-taking, field data interpretation, preparing stratigraphic columns and geologic cross-sections, technical report writing. May require an overnight trip and/or weekend field exercise."
GEOL 435 - Geologic Field Methods II,2,"In-class and weekend field projects include: map proficiency, advanced mapping of geological structures and lithological features on topographic maps and aerial photographs, geologic field notes, synthesis of field data with GIS analysis, measuring stratigraphic sections and developing geologic cross-sections, technical report writing. Multi-day field trips required."
GEOL 455 - Geology Colloquium,1,Geology colloquium with a series of lectures given by invited geoscience professionals.
GEOL 465 - Geosciences Senior Project,2,"Combined literature, field, and/or laboratory study, internship, or service learning experience directed toward a geoscience topic or problem."
GEOL 486 - Geology Research Methods,1,"Orientation to geology research, including developing a research topic and proposal, designing and planning research, bibliographic research and communication in oral and written format."
