title,units,description
"CRGS 108 - Power/Privilege: Gender and Race, Sex, Class",3,"How gender is shaped by race, class, and sexuality. Analyze relations of power and privilege within contemporary US society."
ES 105 - Introduction to U.S. Ethnic Studies,3,"Comparative history of racialized groups in the U.S., with particular emphases on the manner in which race, ethnicity, class, and gender inform this history."
ES 108 - Asian American Lives,3,"Focus on historical and contemporary existence of Asian/American, Desi, Native Hawaiian, and Pacific Islanders in the U.S. Includes the study of laws, public opinion, and U.S. policies."
ES 200 - Comparative Histories of African American and Latinx Americans in the United States,3,"Engages a comparative study of African American and Latina/o histories, cultures, and politics from the American Revolution to the present. Major themes include slavery, colonialism, revolutions, social movements, and racial formations in the modern era. Emphasis is placed on overlapping and distinctive histories and struggles for freedom and human rights. Examines the relationship of African Americans and Latino/a Americans to U.S. constitution, economy, education, and law."
"WS 107 - Women, Narrative, History",3,"Use frameworks of intersectional feminist theory and dominant and counter narratives to read and interpret memoir, autobiography, novels, essays, and poetry from diverse writers in the U.S."
ES 106 - Introduction to Black Studies,3,"Course examines literature, music, dance, and film produced by people of African descent in the US. Studies race, class, and gender to assess similarities and differences in the Black experience."
WS 106 - Introduction to Women’s Studies,3,"Experiences and perspectives of women of different ethnicities, social classes, sexualities, ages, and other points of intersection with gender."
"CRGS 331 - Radical Futures: Race, Environment, and Social Justice",3,"Examine global environmental justice movements responding to colonialism, racial capitalism, neoliberalism. Interrogate science, modernity and progress; contrast with decolonial futures. Multiple disciplinary perspectives: critical ethnic studies, decoloniality, history, art, film studies, social science."
"CRGS 360 - Race, Gender and US Law",4,"How are race, gender, and sexuality constructed and regulated in U.S. law? How have activists challenged such regulations? Discussion of slavery, miscegenation, eugenics, birth control, marriage, welfare, and affirmative action."
CRGS 390W - Theory and Methods,4,"Introduces critical social theories informing Ethnic, Women’s and Multicultural Queer Studies. Explores workings of power, construction of the subject, dynamics of resistance, and conceptual bases of liberation movements. Emphasis rotates."
CRGS 485 - Professional Development,1,"Majors link their experiences and knowledge with tools for obtaining entry-level positions; internships; graduate and professional program admission. Self-care strategies; resume, cover letter, CV, and statement of purpose writing; mock interview."
CRGS 313 - Community Activism,3,"Develop organizational and activist skills, understand how social change occurs, link theory to concrete organizing practice in the community. Course blends critical analysis of organizing theories/methods with hands-on projects.
Cross-listed with: EDUC 313"
EDUC 313 - Community Activism,3,"Develop organizational and activist skills, understand how social change occurs, link theory to concrete organizing practice in the community. Course blends critical analysis of organizing theories/methods with hands-on projects.
Cross-listed with: CRGS 313"
CRGS 482 - Internship,1-3,Supervised internship in organization or institution. Workplace cultures; policy development/review; plan implementation.
CRGS 491 - Mentoring,1-2,Advanced majors gain experience as teaching assistants working with a diverse body of students.
ES 310 - U.S. and Mexico Border,4,"Overview of Mexico: from its indigenous roots, through formation of Spanish colonial society, to an independent nation-state. Cultural conflict and social change."
CRGS 235 - Act to End Sexualized Violence,1,"Analyze how sexualized violence impacts communities and operates as social control; learn to recognize victim-blaming, promote survivor-centered responses, foreground enthusiastic consent, and take action to transform our campus community.
Cross-listed with: ANTH 235, COMM 235, PSCI 235, SOC 235"
ES 107 - Chican@/Latinx Lives,3,Chican@/Latinx cultural production and its relationship: to U.S. culture; to other U.S. ethnic and racial groups; and to Latin American homelands. Readings focus on writers from various Latinx groups.
ES 202 - Hip Hop and the Black Experience,3,"Utilizes Hip Hop to explore the complexities of America’s system of oppression, privileging the voices of Black people and other oppressed groups as they struggle for political, social, and economic power."
ES 203 - Asian American Images and Pop Cultures,3,"Introductory understanding of the way U.S. popular cultures have affected Asian/Americans, Desi, Native Hawaiian, and Pacific Islanders focusing on their contributions to U.S. media and popular culture."
ES 210 - CouRaGeouS Cuentos Production,2,"Edit and produce CouRaGeouS Cuentos, the annual CRGS student journal. Gain experience on the evaluation of submissions, curating a body of work, copyediting, typesetting, and designing. Organize release party."
ES 301 - Media and the Politics of Representation,4,"Examines historical and contemporary constructions of race in U.S. media, binary of blackness/whiteness, and representation of various ethnic groups in relation to binary. Analyzes race, class, gender, sexuality, nation."
"ES 303 - From Civil Rights, Black Power to Black Lives Matter",3,"Critique Black Social Movements and Black liberation strategies, Martin Luther King, Malcolm X, Angela Davis, Black Panthers."
ES 304 - Migrations and Mosaics,3,"Role of international and internal migrations in shaping American population and society. Study of full range of ethnic mosaics.
Cross-listed with: GEOG 304"
ES 305 - African American Cultural History,3,"Within context of American history, analyze African American heritage from its origins through the present."
ES 306 - World Regions Cultural Studies,3,"Culture, values, and social interaction in cultures of a world region (North America, Latin America, Oceania, Middle East, Asia)."
ES 308 - Multi-Ethnic Resistance in the U.S.,3,Examines historical/sociocultural perspectives of U.S. ethnic minorities. Investigates marginalized communities’ rebellion/sustained resistance against past/present oppression. Examines role of state and marginalized groups’ agency in challenging national narratives.
ES 314 - Chicano Culture and Society in America,3,From establishment of 16th century Spanish frontier settlements. Formation of Mexican regional cultures; status of an American racial/cultural minority.
ES 317 - Campus Dialogue on Race,1,"Engage in annual Campus Dialogue on Race events through readings, discussion, and analysis. Explore impact of racism and its intersections with all forms of oppression. Attend events relating to racial justice and social transformation."
ES 336 - U.S. Writers of Color,4,"Read U.S. writers of color and immigrant writers in social and literary contexts. Examine counter narratives and the creation of new literary traditions in the face of cultural and sociopolitical exclusion. Topics vary.
Cross-listed with: ENGL 336, WS 336"
ES 465B - Multicultural Issues in Literature/Languages,4,"Themes, genres, figures, theories, or movements in literary or linguistics study in relation to issues of ethnicity and/or gender. Focused within the boundaries of the U.S.
Cross-listed with: ENGL 465B, WS 465B"
ES 465C - Multicultural Issues in Literature/Languages,4,"Themes, genres, figures, theories, or movements in literary or linguistics study in relation to issues of ethnicity and/or gender. International/transnational in focus.
Cross-listed with: ENGL 465C, WS 465C"
ES 480 - Selected Topics in Ethnic Studies,1-4,
CRGS 430 - Decolonizing Gender and Sexuality,4,"Explore how gender and sexuality are central to racial capitalism, colonialism, nationalism, and politicized religion. Examine how scholars/activists/artists draw upon the past to reimagine gender, sexuality, body, nation, land, and economy to envision decolonized futures."
CRGS 321 - Trans* Lives and Theory,3,Intro to trans* lives and theory utilizing intersectional and multicultural approach. Topics include: trans* experiences; theories of trans* identity; gender and diagnosis; gender justice; trans* feminism and coalition building.
