title,units,description
BIOL 105 - Principles of Biology,4,"Fundamental processes of life. Structure and function of cells, genetics, evolution, and ecology."
BOT 105 - General Botany,4,"Structure, function, reproduction, life cycles, and phylogenetic relationships of major plant groups. Relationships of plants to other organisms and to human activities."
CHEM 109 - General Chemistry I,5,"Fundamental concepts: chemical foundations, stoichiometry, chemical reactions, gases, thermochemistry, atomic theory, bonding, liquids, solutions. For students in science, engineering, and related majors."
CHEM 110 - General Chemistry II,5,"Fundamental concepts: kinetics; equilibrium; acids and bases; acid-base, solubility, and complex ion equilibria; entropy and free energy; electrochemistry; qualitative analysis. For students in science, engineering, and related majors."
MATH 105 - Calculus for the Biological Sciences and Natural Resources,3,"Differential and integral calculus. Apply to biological sciences, including exponential growth and decay."
MATH 109 - Calculus I,4,"Limits, continuity, derivatives, integrals, and their applications."
PHYX 106 - College Physics: Mechanics and Heat,4,"Non-Calculus, for science majors. Mechanics, fluids, heat, sound."
STAT 109 - Introductory Biostatistics,4,"Descriptive statistics, probability, random variables, discrete and continuous distributions, confidence intervals, contingency tests, regression and correlation, tests of hypothesis, analysis of variance. Emphasis: methods and applications used in the biological and natural resource sciences."
ZOOL 110 - Introductory Zoology,4,"Structure, function, evolution, and diversity of major groups of animals."
BIOL 307 - Evolution,4,Properties and differentiation of populations. Population genetics; mechanisms of species formation; and macroevolution.
BIOL 340 - Genetics,4,"Principles of heredity; nature and function of genetic material, with quantitative analyses; genetic constitution of populations."
CHEM 228 - Brief Organic Chemistry,4,"For majors in biological science/natural resource areas. Nomenclature, physical properties, synthesis, and reactions of compounds representing major functional group categories. Reaction mechanisms emphasized."
GEOL 109 - General Geology,4,"Physical geology. Origin and constitution of the earth, internal and external processes that determine crustal and surficial features, and methods in investigating and interpreting earth history."
PHYX 107 - College Physics: Electromagnetism and Modern Physics,4,"Non-Calculus, for science majors. Geometric optics, electricity, magnetism, electromagnetic waves, AC circuits, physical optics, relativity."
BIOL 330 - Principles of Ecology,4,"Major ideas shaping modern ecology: population regulation, competition, predation, ecosystem energetics, mathematical models, and nutrient cycling. Role of biological and physical factors in developing community structure."
BIOL 350 - Cell Biology,3,"Study of the structure and function of cells with emphases in biochemistry, molecular biology, and physiology, and methods used to address relevant questions in the field."
BIOL 448 - Biogeography,3,"Past/present geographic distribution of animal and plant groups. Emphasis on vertebrate animals and vascular plants.
Co-listed with: BIOL 548. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
BIOL 499 - Directed Study,1-2,"Individual work for senior students showing special aptitude. Conference, reading, research."
BOT 350 - Plant Taxonomy,4,"Identify ferns, gymnosperms, and flowering plants. Recognize families and key plants in the local flora."
ZOOL 312 - Human Physiology,4,"Physiological chemistry, cell physiology, and physiology of major organ systems of the human body."
