title,units,description
PSYC 104 - Introduction to Psychology,3,"Overview of core content such as neuroscience, learning, human development, research methods, psychological disorders/treatments, social influences on behavior. Participation in research studies required. Prerequisite for all other PSYC courses."
PSYC 109 - Introduction to Psychological Statistics,4,Descriptive/inferential methods for analyzing data. Descriptive statistics; normal distributions; elementary probability; bivariate correlation and regression; hypothesis testing for comparing independent and paired groups. Labs: computer statistical programs; problem solving.
PSYC 240 - Foundations of Research Methods in Psychology,3,"Provides an overview of research methods (descriptive, correlational, experimental) used in psychology, and focuses on increasing student understanding of published research. APA style for writing papers is presented."
PSYC 311 - Developmental Psychology,3,"Overview of developmental changes across the human life span: conception through adulthood. Relevant psychological theories, research literature."
PSYC 321 - Introduction to Behavioral Neuroscience,3,"How brain, spinal cord, peripheral nervous system, hormones, and genetics affect behavior. Biochemistry, neuroanatomy, and neurophysiology information supplied in class, so specific background in these subjects not required."
PSYC 324 - Cognitive Psychology,3,"Acquisition, organization, use of knowledge. Attention, memory, problem solving, decision making, language, consciousness."
PSYC 335 - Social Psychology,3,"Examines how people’s cognitions, attitudes, and behaviors are influenced by the actual, imagined, or implied presence of others; focus on group processes, intergroup relations, culture, and socialization."
PSYC 338 - Abnormal Psychology,3,"Major psychological disorders: anxiety disorders (neuroses), psychoses, and conduct disturbances. Theoretical/empirical analyses."
PSYC 342W - Application of Research Methods in Psychology,4,"Learn about the application of the different types of research design and methods used in psychology. Learn about ethics, hypothesis development, data collection and analysis, interpretation of results, and dissemination of research."
PSYC 300 - Psychology of Gender,3,"Explorations of research and theory regarding biological, individual, social, and cultural influences on the development and expression of gender, gender roles, and identity; also examines power and privilege."
PSYC 302 - Psychology of Prejudice,3,"How it is expressed, its causes, consequences, and approaches for reducing it. Multicultural and diversity issues."
PSYC 306 - Health Psychology,3,"Examines the biological, social, cultural, and psychological factors (and their interactions) that contribute to health and wellness. Also examines evidence-based interventions for health promotion and behavior change."
PSYC 320 - Behavior Analysis,4,"Experimental and applied analysis of behavior, behavior change processes, and practical applications in behavior modification and therapy. Structured observations and analysis of animal and human behavior."
PSYC 322 - Learning and Motivation,3,"Principles, concepts, and theoretical issues: reinforcement, extinction, punishment, transfer of training."
PSYC 323 - Sensation and Perception,3,Role of senses in acquiring information. Integrating sensory processes to form perceptual representations of the environment.
PSYC 325 - Advanced Behavioral Neuroscience,4,"Principles of behavioral neuroscience are reviewed, and then selected topics are covered in detail through lectures and reading original research articles. Required labs provide hands-on experience.
Cross-listed with: ZOOL 325"
PSYC 336 - Social Influence and Persuasion,3,"Examines the processes involved in social change, conversion and true persuasion, and compliance, by focusing on the role of both the collective and the individual; exploration of theories and research."
PSYC 337 - Personality Theory and Research,3,"Psychoanalysis, behaviorism, humanistic psychology. Research implications, practical application, critical evaluation."
PSYC 345L - Psychological Tests and Measurement,4,"Principles of applied psychological measurement, including item analysis, reliability, validity, and test construction; ethical issues in the use of psychological tests, and procedures for the evaluation of psychological measures. course includes an applied lab in the construction of psychological measures."
PSYC 411 - Social Neuroscience,3,"Overview of evolutionary origins and brain mechanisms of social behavior, research methods, and societal implications of neurophilosophy. Exams and assignments evaluate knowledge and skills development.
Co-listed with: PSYC 511. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
PSYC 414 - Psychology of Adolescence and Young Adulthood,3,"Physical, cognitive, social, and emotional development. Personality, relationship, education, and work issues from developmental perspective."
PSYC 415 - Psychology of Aging and Older Adulthood,3,"Covers changing U.S. demographics, how biological, social, and cultural contexts interact to influence the behavior of older adults (ages 65+), theories of aging and longevity, and psychopathology."
PSYC 418 - Developmental Psychopathology,3,"Developmental, social, behavioral, and emotional problems of children and adolescents are explored in relation to normal developmental milestones. Introduction to theories and research in the field of developmental psychopathology."
PSYC 436 - Human Sexuality,3,"Physiological, psychological, and sociological aspects of human sexual behavior. Topics include conception, contraception, attitudes, orientation, and behaviors. Interdisciplinary approaches as appropriate.
Cross-listed with: WS 436"
PSYC 454 - Interviewing and Counseling Techniques,3,"Discuss different theoretical and evidence-based approaches to counseling with supervised practice, including video feedback sessions."
PSYC 473 - Substance Use and Addiction,3,"Why people use and misuse drugs. Biological, psychological, social, and therapeutic aspects."
PSYC 478 - Analysis of Variance,4,"Topics include between and within subjects ANOVA, mixed model ANOVA, and test assumptions.
Co-listed with: PSYC 578. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
PSYC 480 - Selected Topics in Psychology,0.5-3,"Topic/problem from theoretical, experimental, or applied psychology."
PSYC 484 - Culture and Diversity in Psychology,3,"Examines the intersectionality of culture, race, ethnicity, and diversity in the field of psychology. Focuses on how issues of culture and diversity relate to the interpretation and perception of people’s experience/beliefs/values as well as how to apply this information in the field of psychology overall."
PSYC 486 - History and Systems of Psychology,3,"History of psychology explored through a multidisciplinary lens, focusing on the evolution of science and thought in diverse cultures in relation to other sciences; research methods; interpretation of empirical data."
PSYC 487 - Evolutionary Psychology,3,A general overview of how human behavior and psychology has been shaped by natural selection through eons of evolution.
PSYC 488 - Regression/Multivariate Topics,4,"Topics include multiple regression, moderated regression, logistic regression, time series, and factor analysis.
Co-listed with: PSYC 588. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
PSYC 489S - Community Psychology,3,"Foundational overview of ecological, multicultural, and intersectional theories in understanding applied psychology with a focus on community interventions. This course includes a service placement at a local community organization."
PSYC 490 - Senior Honors Thesis,3,Advanced majors design a cumulating experience that involves independent research while working under the supervision of a faculty member.
PSYC 495 - Research Practicum in Psychology,1-4,Individual investigation culminates in formal report complying with department standards.
PSYC 497 - Mentoring in Teaching Psychology,1-3,Advanced majors gain experience as mentors working with a diverse body of students. Learn and participate in pedagogical theory and processes as applied to university level classes.
PSYC 499 - Independent Study,1-3,"On a tutorial basis, pursue area of interest not covered by regular course offerings."
