title,units,description
BIOL 105 - Principles of Biology,4,"Fundamental processes of life. Structure and function of cells, genetics, evolution, and ecology."
BOT 105 - General Botany,4,"Structure, function, reproduction, life cycles, and phylogenetic relationships of major plant groups. Relationships of plants to other organisms and to human activities."
CHEM 109 - General Chemistry I,5,"Fundamental concepts: chemical foundations, stoichiometry, chemical reactions, gases, thermochemistry, atomic theory, bonding, liquids, solutions. For students in science, engineering, and related majors."
CHEM 110 - General Chemistry II,5,"Fundamental concepts: kinetics; equilibrium; acids and bases; acid-base, solubility, and complex ion equilibria; entropy and free energy; electrochemistry; qualitative analysis. For students in science, engineering, and related majors."
MATH 105 - Calculus for the Biological Sciences and Natural Resources,3,"Differential and integral calculus. Apply to biological sciences, including exponential growth and decay."
MATH 109 - Calculus I,4,"Limits, continuity, derivatives, integrals, and their applications."
PHYX 106 - College Physics: Mechanics and Heat,4,"Non-Calculus, for science majors. Mechanics, fluids, heat, sound."
STAT 109 - Introductory Biostatistics,4,"Descriptive statistics, probability, random variables, discrete and continuous distributions, confidence intervals, contingency tests, regression and correlation, tests of hypothesis, analysis of variance. Emphasis: methods and applications used in the biological and natural resource sciences."
ZOOL 110 - Introductory Zoology,4,"Structure, function, evolution, and diversity of major groups of animals."
BIOL 307 - Evolution,4,Properties and differentiation of populations. Population genetics; mechanisms of species formation; and macroevolution.
BIOL 340 - Genetics,4,"Principles of heredity; nature and function of genetic material, with quantitative analyses; genetic constitution of populations."
CHEM 228 - Brief Organic Chemistry,4,"For majors in biological science/natural resource areas. Nomenclature, physical properties, synthesis, and reactions of compounds representing major functional group categories. Reaction mechanisms emphasized."
PHYX 107 - College Physics: Electromagnetism and Modern Physics,4,"Non-Calculus, for science majors. Geometric optics, electricity, magnetism, electromagnetic waves, AC circuits, physical optics, relativity."
PHYX 118 - College Physics: Biological Applications,1,"Geometrical optics, simple DC circuits."
FISH 320 - Limnology,3,"Lake formation and aging. Physical, chemical, and behavioral relationships between organisms and their environments."
GEOG 106 - Physical Geography,3,"Global patterns of climate, soils, vegetation. Landform geography. Climate regions defined on basis of physical environmental and agricultural land-use parameters. Geography majors must also take GEOG 106L."
GEOL 109 - General Geology,4,"Physical geology. Origin and constitution of the earth, internal and external processes that determine crustal and surficial features, and methods in investigating and interpreting earth history."
OCN 109 - General Oceanography,3,"Extent of the oceans; chemical nature of sea water; causes/effects of currents, tides, and waves; animal and plant life in the sea; features of the ocean floor."
OCN 109L - General Oceanography Laboratory,1,"Introductory laboratory activities to develop understanding of fundamental concepts from geological, chemical, physical, and biological oceanography and the inter-relationship between those concepts."
SOIL 260 - Introduction to Soil Science,3,"Soil’s physical, chemical, and biological properties. Implications for land management. Identify soil parent materials; use soil survey reports."
BIOL 330 - Principles of Ecology,4,"Major ideas shaping modern ecology: population regulation, competition, predation, ecosystem energetics, mathematical models, and nutrient cycling. Role of biological and physical factors in developing community structure."
BIOL 434 - Population and Community Ecology,4,"The study of the structure and distribution of populations and communities. Topics include population viability modeling, metapopulation dynamics, mark-recapture techniques, species interactions, trophic dynamics, assembly rules, biodiversity, and conservation issues.
Co-listed with: BIOL 534. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
BIOL 350 - Cell Biology,3,"Study of the structure and function of cells with emphases in biochemistry, molecular biology, and physiology, and methods used to address relevant questions in the field."
BIOL 440 - Molecular Genetics Lab,2,"Experiments in modern and classical genetics, using a variety of organisms."
BIOL 450 - Cell Biology Laboratory,2,"Experiments in modern and classical cellular and molecular biology, cellular physiology, and biochemistry of cells using cell culture models."
BIOL 412 - General Microbiology,4,"Natural history and importance of bacteria, archaea, and viruses. Structure, growth, metabolism, genetics, taxonomy, diversity, pathogenesis, and applied aspects of microorganisms."
BOT 310 - General Plant Physiology,4,"Plant growth, development, reproduction, metabolism, photosynthesis, soil/water relations, inorganic nutrition, and translocation. Quantitative analysis of physiological functions."
ZOOL 310 - Animal Physiology,4,Comparative organ system physiology of animals. Adaptive strategies.
BOT 350 - Plant Taxonomy,4,"Identify ferns, gymnosperms, and flowering plants. Recognize families and key plants in the local flora."
BOT 354 - Agrostology,4,"Taxonomy, identification, and relationships of grasses of North America."
BOT 355 - Lichens and Bryophytes,4,"Biology, ecology, natural history, and taxonomy of lichens, liverworts, hornworts, and mosses. Emphasis: epiphytic habitats. Weekend field trips."
BOT 356 - Phycology,4,"Biology and evolution of photosynthetic eukaryotes. Marine algal ecology. Field trips, identification skills, micro- and macroalgal sampling, data analysis, scientific writing.
Co-listed with: BOT 556. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
BOT 358 - Biology of the Microfungi,2,"Morphology, genetics, classification, ecology, and economic importance of yeasts and molds. Emphasis on isolation, culture, and lab techniques."
BOT 359 - Biology of the Ascomycetes and Basidiomycetes,2,"Morphology, anatomy, classification, genetics, ecology, physiology, and economic importance of ascomycetes and basidiomycetes."
FISH 310 - Ichthyology,4,"Biology of fishes and fishlike vertebrates. Anatomy/concepts of systematics of fishes; classifying fishes, particularly commercial, game, and forage species."
WLDF 365 - Ornithology I,3,"Classification, life histories, ecology, behavior, and special adaptations of birds. Identification in field and lab."
ZOOL 314 - Invertebrate Zoology,5,"Comparative functional morphology, life histories, and phylogeny of invertebrates."
ZOOL 316 - Freshwater Aquatic Invertebrates,3,"Identification, behavior, life history. Insects, crustaceans, mollusks."
ZOOL 354 - Herpetology,4,"Biology, classification, anatomy, distribution, and life histories of amphibians and reptiles."
ZOOL 356 - Mammalogy,3,"Comparative mammalian biology. Systematics, morphology, behavior, reproduction, physiology, ecology, zoogeography."
ZOOL 358 - General Entomology,4,"Classification, identification, anatomy, physiology, ecology, behavior, control of insects."
STAT 333 - Linear Regression Models/ANOVA,4,"Linear regression, analysis of variance, and other linear models applied to experimental and observational studies. course emphasizes model formulation, assumptions, selection, and interpretation in both hypothesis-testing and descriptive contexts."
STAT 406 - Sampling Design and Analysis,4,"Randomized sample surveys are used for natural resource monitoring, election polling, plant abundance estimation, and other purposes. This course presents approaches to sample selection and to inference/estimation from sample data.
Co-listed with: STAT 506. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
