title,units,description
BIOL 105 - Principles of Biology,4,"Fundamental processes of life. Structure and function of cells, genetics, evolution, and ecology."
BOT 105 - General Botany,4,"Structure, function, reproduction, life cycles, and phylogenetic relationships of major plant groups. Relationships of plants to other organisms and to human activities."
CHEM 107 - Fundamentals of Chemistry,4,Terminal course. Fundamental concepts and applications of general and inorganic chemistry.
ESM 105 - Natural Resource Conservation,3,Broad aspects; history of humanity in relation to land use; human populations in relation to resources; history of conservation movement; present day conservation problems.
GSP 101 - Geospatial Concepts,3,"Overview: scale, coordinates, geodesy, direction, projections, surveying, global positioning systems (GPS), remote sensing, geographic information systems (GIS), cartography; historical context illustrating how maps depict spatial relationships, chart power, convey authority."
GSP 216 - Introduction to Remote Sensing,3,"Introductory course in remote sensing focusing on broad topics pertaining to nature of radiation, aerial photography and interpretation, multispectral scanners, and image data and processing."
GSP 270 - Geographic Information Science (GIS),3,"Introductory course in Geographic Information Science and spatial analysis involving collection, manipulation, display, and analysis of geographically referenced data. Raster and Vector data, overlays, buffer, proximity analysis and SQL queries."
PHYX 106 - College Physics: Mechanics and Heat,4,"Non-Calculus, for science majors. Mechanics, fluids, heat, sound."
SCI 100 - Becoming a STEM Professional in the 21st Century,3,"This course provides an introduction to the academic skills of a student in STEM, an introduction to the practical aspects of these disciplines, and their role in our multicultural society."
SOIL 260 - Introduction to Soil Science,3,"Soil’s physical, chemical, and biological properties. Implications for land management. Identify soil parent materials; use soil survey reports."
STAT 109 - Introductory Biostatistics,4,"Descriptive statistics, probability, random variables, discrete and continuous distributions, confidence intervals, contingency tests, regression and correlation, tests of hypothesis, analysis of variance. Emphasis: methods and applications used in the biological and natural resource sciences."
BOT 310 - General Plant Physiology,4,"Plant growth, development, reproduction, metabolism, photosynthesis, soil/water relations, inorganic nutrition, and translocation. Quantitative analysis of physiological functions."
BOT 350 - Plant Taxonomy,4,"Identify ferns, gymnosperms, and flowering plants. Recognize families and key plants in the local flora."
ESM 305 - Environmental Conflict Resolution,3,"Introduction to conflict theory as applied in complex natural resource disputes. Skill development in planning culturally appropriate and inclusive public participation processes, meeting facilitation, and conflict mediation. Comparison of options for nonviolent conflict management."
FOR 315 - Forest Management,3,"Managing forest-covered landscapes to meet a variety of objectives by applying economic, sociological, ecological, silvicultural, and operational principles."
FOR 359 - Forest and Rangeland Policy,3,US and California government and policies are introduced with an emphasis on the interactions between these institutions and natural resource management. Regulations are analyzed from creation to implementation and interpretation. Meets requirement in “US Constitution and California State and Local Government” established by CA legislature.
RRS 306 - Rangeland Management Principles,3,Analysis of rangeland biophysical communities; management for sustainable human and environmental values; use by wild and domestic animals; historical and legal changes in rangeland management.
RRS 360 - Rangeland Plant Communities,3,"Delineation and synecology of important North American rangelands. Plant identification of important grasses, forbs, and shrubs."
RRS 370 - Rangeland Ecology,3,"Interplay of ecological principles with species composition, distribution, disturbance responses, and management of grassland, woodland, and shrubland communities."
RRS 375 - Rangeland Inventory and Health,3,Vegetation health monitoring and analysis procedures. Observe and evaluate vegetation organization and structure. Interpret distinct ecological sites. Field demonstration and analytical work.
SOIL 360 - Origin and Classification of Soils,3,"Factors of soil genesis; their interactions. Soil morphology/description; classification, emphasizing wildland soils."
SOIL 460W - Wildland Soil Management and Erosion Control,3,"Characterization, mapping, assessment, interpretation, and management of wildland soils; nutrient cycling, fire effects, erosion control."
WSHD 310 - Hydrology and Watershed Management,4,"Hydrologic considerations of forest roads, stream crossings, road drainage. Management influences on hydrologic processes and aquatic habitat; protecting salmonid resources."
BOT 354 - Agrostology,4,"Taxonomy, identification, and relationships of grasses of North America."
BOT 355 - Lichens and Bryophytes,4,"Biology, ecology, natural history, and taxonomy of lichens, liverworts, hornworts, and mosses. Emphasis: epiphytic habitats. Weekend field trips."
BOT 358 - Biology of the Microfungi,2,"Morphology, genetics, classification, ecology, and economic importance of yeasts and molds. Emphasis on isolation, culture, and lab techniques."
BOT 359 - Biology of the Ascomycetes and Basidiomycetes,2,"Morphology, anatomy, classification, genetics, ecology, physiology, and economic importance of ascomycetes and basidiomycetes."
BOT 360 - Biology of the Fleshy Fungi,2,"Systematics, ecology, toxicity, biological interactions, and culturing of mushrooms, polypores, chanterelles, boleti, and puffballs. Emphasis: Northern California fungi."
FOR 130 - Dendrology,3,"US trees/shrubs. Ranges, botanical characteristics, commercial and noncommercial uses, growth rates, and relation of plants to their total environment. Identify under field conditions and using herbarium specimens."
SOIL 363 - Wetland Soils,3,"The morphology, chemistry, hydrology, formation and function of mineral and organic soils in wet environments. Topics include identification, estuaries, peatlands, preservation, regulation and mitigation."
SOIL 462 - Soil Fertility,3,Methods of evaluating/ managing soil fertility; nutrient availability and cycling in terrestrial ecosystems; soil test methods and interpretation of results.
SOIL 465 - Soil Microbiology,3,"Interrelationships between soil, microorganisms, and plants, especially in context of wildland soils. Isolate/ identify microorganisms."
SOIL 468 - Introduction to Agroforestry,3,Objectives and socioeconomic contexts. Multipurpose tree species; soil/tree/crop/livestock interactions; soil conservation; soil fertility effects.
GEOL 109 - General Geology,4,"Physical geology. Origin and constitution of the earth, internal and external processes that determine crustal and surficial features, and methods in investigating and interpreting earth history."
GEOL 306 - General Geomorphology,3,"Origin and development of landforms, landform classification, geomorphic processes. Methods of geomorphological analysis, topographic map interpretation, and aerial photo interpretation. May require two weekend field trips."
SOIL 467 - Soil Physics,3,State/transport of matter and energy in soil; physical processes governing soil/water energy relationships.
ESM 355 - Principles of Ecological Restoration,3,"Scientific basis for reconstruction of degraded ecosystems. Focus on practices designed to improve ecological structure and function, and meeting societal needs for sustainable and functional ecosystems."
ESM 455W - Ecological Restoration Capstone,4,"Bring your multidisciplinary education to bear on real-world projects. Work with client agencies to apply the restoration process, devise methods and goals for restoration, develop management strategies for restored sites."
RRS 430 - Rangeland Restoration and Improvement,3,"Treatments, developments, and structures to improve rangeland ecosystems, services, and function. Ecological principles in ecosystem management and restoration."
WSHD 458 - Climate Change and Land Use,3,"Implications of climate change for terrestrial and aquatic resources. Overview of projected shifts in weather and climate. Influence of land use decisions on global carbon cycle in forests, agriculture and wetlands."
BA 430 - Introduction to Entrepreneurship,4,"Planning, start up, sources of capital, location, form, budgeting, record keeping, marketing, management."
PSCI 365 - Political Ecology,4,"Combines elements of human ecology and political economy to examine environmental degradation, conflict, and conservation. Examines social movements and community responses to environmental change.
Cross-listed with: GEOG 365"
PSCI 373 - Politics of Sustainability,4,"Examine diverse views of concepts such as democracy, liberty, justice, and nature as a response to political challenges of sustainability and unsustainability. Role of states, technology, markets, and culture."
