title,units,description
BIOL 104 - General Biology,3,Principles of modern biology. Emphasis on aspects of biology rapidly reshaping our culture. Not intended for majors in life sciences or natural resources.
CD 209 - Middle Childhood Development,3,Development of family/social context. Focus on children 7-12 years old. Biological and environmental influences determining normative and individual development. Interpret theories and research.
COMM 100 - Fundamentals of Speech Communication,3,Introductory course. Develop oral communication abilities for functioning effectively in various settings. Fundamental communication theory.
COMM 103 - Critical Listening and Thinking,3,"From listener’s (consumer’s) perspective, apply reasoned inquiry in evaluating marketplace communication."
ENGL 104 - Accelerated Composition and Rhetoric,3,"Accelerated writing course emphasizing rhetorical knowledge, writing in multiple genres, critical thinking, and writing as a socially situated practice. Writing workshop, research, collaboration, and revision. Culminates in writing portfolio."
"ENGL 105 - Literature, Media and Culture",3,"Study written, visual, and musical genres, with an emphasis on understanding their role as texts in culture. Develop skills and understanding as a thoughtful reader, viewer, and listener."
ES 105 - Introduction to U.S. Ethnic Studies,3,"Comparative history of racialized groups in the U.S., with particular emphases on the manner in which race, ethnicity, class, and gender inform this history."
ES 106 - Introduction to Black Studies,3,"Course examines literature, music, dance, and film produced by people of African descent in the US. Studies race, class, and gender to assess similarities and differences in the Black experience."
ES 107 - Chican@/Latinx Lives,3,Chican@/Latinx cultural production and its relationship: to U.S. culture; to other U.S. ethnic and racial groups; and to Latin American homelands. Readings focus on writers from various Latinx groups.
GEOL 109 - General Geology,4,"Physical geology. Origin and constitution of the earth, internal and external processes that determine crustal and surficial features, and methods in investigating and interpreting earth history."
HIST 104 - Western Civilization to 1650,3,"Origin and growth of human communities in the Western world. Development of various social and political organizations, cultural milieu, and relationships to the rest of the world."
HIST 110 - United States History to 1877,3,"Selected topics. Sources and conditioning factors of American social, political, and economic systems to 1877. Meets requirement in US history established by California legislature."
MATH 103 - Mathematics as a Liberal Art,3,"Development of quantitative reasoning through ways mathematics uses quantitative, geometrical, algebraic, and statistical thinking in problem solving."
MATH 103I - Mathematics as a Liberal Art with Integrated Support,3,"Integrated support for development of quantitative reasoning through ways mathematics uses quantitative, geometrical, algebraic and statistical thinking in problem solving. Open to students in Math placement category III or IV."
MATH 3 - Support for Mathematics as a Liberal Art,1,Integrated support for development of quantitative reasoning Mathematics as a Liberal Art (MATH 103I). No degree credit.
MUS 204 - Music in the K-8 Classroom,3,Prepares pre-service teachers for effective delivery of general music lessons in the elementary self-contained classroom. Designed primarily for LSEE majors; music majors should take MUS 319  instead.
PSCI 110 - American Government,3,"Political values, institutions, and patterns of influence in law and governance, including relations among the nation, tribes, and the state of California. Meets requirement in “US Constitution and California state and local government” established by legislature."
TA 105 - Acting 1: Principles of Performance,3,"Theatre games, improvisation, movement, voice. Techniques applicable first to the individual and second to principles of performance in film and theatre."
ART 307 - Arts Integration in the Elementary Classroom,3,"Introduces prospective elementary teachers to the processes of creating, critiquing, and historically and culturally contextualizing visual arts methods and traditions for integration in the elementary (K-5) classroom. Coursework will prepare students for the development of California Arts Standards (CAS)-based lesson plans for integration in California schools."
CD 310 - Perspectives: History and Theory,3,History and theory with respect to US families and the institutions that serve them. Intellectual paradigms examined and related to sociocultural context and child development practices.
DANC 354 - Teaching of Dance,2,Learn basic tenets of teaching dance in a variety of settings. Integrate pedagogical knowledge with various dance techniques and creative skills. Learn how to organize and adapt lesson plans to the diverse interests and abilities of learners.
"LSEE 308 - Algebra, Geometry, and Data in the Elementary Classroom",3,"Solid foundation for elementary school teaching focusing on the complementary development of symbol sense (algebra), spatial (geometry) and data sense (probability and statistics)."
LSEE 313 - Science for Elementary Education,3,"Survey content course of the four domains of science taught to K-8 public school students with fieldwork in elementary school classrooms. Topics in life, physical, earth and space science as well as engineering and design."
LSEE 317 - Number Sense and Operations in Elementary School Math,3,"Improve facility with, appreciation of, and understanding of mathematics to build a solid foundation for elementary school teaching with a focus on number sense."
LSEE 475 - Health and Physical Education,3,Develop knowledge and skills to teach and evaluate health/physical education programs for elementary classrooms through observation and participation in classroom activities.
LSEE 101 - Foundations of Education,4,"Introduction to teaching including educational foundations, classroom observations, the role of education in democratic societies, and the exploration of the knowledge, skills and dispositions needed to become an effective educator."
LSEE 211 - Developmental Literacy,4,"Analysis of developmental theories and approaches to emergent literacy, children’s literature, assessment, lesson design and intervention strategies that include fieldwork activities in elementary classrooms."
LSEE 212 - Language and Literacy,4,Foundational language and literacy skills are studied including linguistics and language conventions. Students observe and apply course content with elementary school students to expand their pedagogical content knowledge and skill.
LSEE 314 - Science for Elementary Education Field Practicum,1,Fieldwork during the junior year of LSEE includes tutoring and small group instruction while attending to children’s socioeconomic and cultural backgrounds. Fieldwork is aligned with specific course goals and objectives of LSEE 313 and the needs of the participating elementary or middle school.
LSEE 315 - Social Studies for Elementary Education,4,"Comprehensive theoretical and practical understanding of the social studies content for diverse K-8 learners including World, US and California History including aligned geography and economics content."
LSEE 316 - Language Arts for Elementary School,4,Development of content knowledge in the major descriptions of literacy needed to become effective teachers in the area of language arts.
LSEE 318 - Number Sense and Operations in Elementary School Math Practicum,1,Fieldwork during the junior year of LSEE includes tutoring and small group instruction while attending to children’s socioeconomic and cultural backgrounds. Fieldwork is aligned with specific course goals and objectives of LSEE 317 and the needs of the participating elementary or middle school.
"LSEE 319 - Algebra, Geometry, and Data in the Elementary Classroom Practicum",1,Fieldwork during the junior year of LSEE includes tutoring and small group instruction while attending to children’s socioeconomic and cultural backgrounds. Fieldwork is aligned with specific course goals and objectives of LSEE 308 and the needs of the participating elementary or middle school.
LSEE 333 - English Language and Bilingual Development,4,Develop content knowledge regarding the foundations of language acquisition and English language/Bilingual programs. Students develop effective teaching strategies to meet the academic needs of linguistically and culturally diverse students.
LSEE 377 - Education of Exceptional Individuals,4,"Introduction to core concepts, specific terms, and definitions related to special populations in education. Specific educational support needs and effective techniques of instruction will be presented."
LSEE 421 - Critical Multicultural Education,4,"Investigate issues such as opportunity gap, parental involvement and school funding to recognize and understand the social, cultural, economic, and historical factors affecting teaching and learning. Critical reflection is facilitated through an examination of multicultural children’s literature."
LSEE 713 - Integrated Elementary Science and Math I,3,Content knowledge from math and science is reviewed and analyzed while exploring pedagogies to teach an integrated curriculum. Methods and strategies to teach integrated lessons are investigated.
LSEE 714 - Integrated Elementary Science and Math II,2,"Content knowledge from Math and Science is reviewed and analyzed while exploring pedagogies to teach an integrated curriculum. Methods and strategies to teach integrated lessons are planned, and implemented. Lessons are enhanced by using technology."
"LSEE 715 - Integrated Art, Language Arts and Social Studies I",3,"Content knowledge from Art, Social Studies and Language Arts is reviewed and analyzed while exploring pedagogies to teach an integrated curriculum. Methods and strategies to teach integrated lessons are investigated."
"LSEE 716 - Integrated Art, Language Arts, and Social Studies II",2,Integration of Art/Language Arts/Social Studies through the demonstration of content knowledge and the development and implementation of integrated lesson plans for fieldwork placements in elementary classrooms.
"LSEE 723 - School, Student, and Social Development",3,"Foundation of teaching and learning of the school age-child; understanding development, learning, theory, and practice; application of human development theories, approach to discipline, and classroom management."
LSEE 753 - Senior/Credential Capstone I,2,Growth and development of reflective educators and lifelong learners through the demonstration of student teaching and performance assessment competencies and self-reflection.
LSEE 754W - Senior/Credential Capstone II,3,Growth and development of reflective educators and lifelong learners through the demonstration of student teaching and performance assessment competencies and self-reflection.
LSEE 755 - Clinical Practicum I,3,Students in this course will be referred to as Candidates because they are now candidates for a credential. Candidates are required to complete student teaching fieldwork in a year-long placement in a local elementary school. Candidates are evaluated by a mentor teacher and a university supervisor.
LSEE 756 - Clinical Practicum II,6,Second part of the Clinical Practicum. Students in this course will be referred to as Candidates because they are now candidates for a credential. Candidates are required to complete student teaching fieldwork in a year-long placement in a local elementary school. Candidates are evaluated by a mentor teacher and by a university supervisor.
