title,units,description
BIOL 105 - Principles of Biology,4,"Fundamental processes of life. Structure and function of cells, genetics, evolution, and ecology."
BOT 105 - General Botany,4,"Structure, function, reproduction, life cycles, and phylogenetic relationships of major plant groups. Relationships of plants to other organisms and to human activities."
CHEM 109 - General Chemistry I,5,"Fundamental concepts: chemical foundations, stoichiometry, chemical reactions, gases, thermochemistry, atomic theory, bonding, liquids, solutions. For students in science, engineering, and related majors."
CHEM 110 - General Chemistry II,5,"Fundamental concepts: kinetics; equilibrium; acids and bases; acid-base, solubility, and complex ion equilibria; entropy and free energy; electrochemistry; qualitative analysis. For students in science, engineering, and related majors."
CHEM 228 - Brief Organic Chemistry,4,"For majors in biological science/natural resource areas. Nomenclature, physical properties, synthesis, and reactions of compounds representing major functional group categories. Reaction mechanisms emphasized."
MATH 105 - Calculus for the Biological Sciences and Natural Resources,3,"Differential and integral calculus. Apply to biological sciences, including exponential growth and decay."
PHYX 106 - College Physics: Mechanics and Heat,4,"Non-Calculus, for science majors. Mechanics, fluids, heat, sound."
PHYX 107 - College Physics: Electromagnetism and Modern Physics,4,"Non-Calculus, for science majors. Geometric optics, electricity, magnetism, electromagnetic waves, AC circuits, physical optics, relativity."
PHYX 118 - College Physics: Biological Applications,1,"Geometrical optics, simple DC circuits."
STAT 109 - Introductory Biostatistics,4,"Descriptive statistics, probability, random variables, discrete and continuous distributions, confidence intervals, contingency tests, regression and correlation, tests of hypothesis, analysis of variance. Emphasis: methods and applications used in the biological and natural resource sciences."
ZOOL 110 - Introductory Zoology,4,"Structure, function, evolution, and diversity of major groups of animals."
BIOL 307 - Evolution,4,Properties and differentiation of populations. Population genetics; mechanisms of species formation; and macroevolution.
BIOL 330 - Principles of Ecology,4,"Major ideas shaping modern ecology: population regulation, competition, predation, ecosystem energetics, mathematical models, and nutrient cycling. Role of biological and physical factors in developing community structure."
BIOL 340 - Genetics,4,"Principles of heredity; nature and function of genetic material, with quantitative analyses; genetic constitution of populations."
BOT 310 - General Plant Physiology,4,"Plant growth, development, reproduction, metabolism, photosynthesis, soil/water relations, inorganic nutrition, and translocation. Quantitative analysis of physiological functions."
BOT 350 - Plant Taxonomy,4,"Identify ferns, gymnosperms, and flowering plants. Recognize families and key plants in the local flora."
BOT 354 - Agrostology,4,"Taxonomy, identification, and relationships of grasses of North America."
BOT 355 - Lichens and Bryophytes,4,"Biology, ecology, natural history, and taxonomy of lichens, liverworts, hornworts, and mosses. Emphasis: epiphytic habitats. Weekend field trips."
BOT 356 - Phycology,4,"Biology and evolution of photosynthetic eukaryotes. Marine algal ecology. Field trips, identification skills, micro- and macroalgal sampling, data analysis, scientific writing.
Co-listed with: BOT 556. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
BOT 358 - Biology of the Microfungi,2,"Morphology, genetics, classification, ecology, and economic importance of yeasts and molds. Emphasis on isolation, culture, and lab techniques."
BOT 322 - Developmental Plant Anatomy,4,"Plant structure and development, emphasis on seed plants; cells, tissues, and organs. Cell fate determination tissue patterning. Descriptive anatomy and molecular mechanisms. Applications of plant anatomy. Primary literature surveys, scientific communication.
Co-listed with: BOT 522. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
BOT 372 - Evolutionary Morphology of Plants,4,"Organismal biology, phylogeny, and evolution of vascular plants. Morphology, anatomy, development of extant and fossil plants. Cladistic theory and data analysis, survey of primary literature, scientific communication.
Co-listed with: BOT 572. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
BOT 521 - Paleobotany,3,"Principles of reconstructing past terrestrial landscapes, environments, and plant communities. Techniques for finding, analyzing, and interpreting fossil evidence."
BOT 330 - Plant Ecology,2,"Principles governing structure and dynamics of plant populations and communities. Topics include community sampling, interspecific interactions, population viability analysis, and conservation issues."
BOT 330L - Plant Ecology Lab,1,Apply concepts and methods from BOT 330.
BOT 451 - Advanced Plant Taxonomy,3,"Learn taxonomic and field botany techniques, read contemporary literature in plant systematics, hands on experience on plant collecting techniques focusing on Northern California Flora. Co-listed with BOT 551.
Co-listed with: BOT 551 . (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
BOT 553 - Marine Macrophyte Ecology,3,"Ecology of marine algae and seagrasses. Lectures: from evolutionary ecology to diversity and ecosystem health. Labs: methods, student projects."
BIOL 350 - Cell Biology,3,"Study of the structure and function of cells with emphases in biochemistry, molecular biology, and physiology, and methods used to address relevant questions in the field."
BIOL 412 - General Microbiology,4,"Natural history and importance of bacteria, archaea, and viruses. Structure, growth, metabolism, genetics, taxonomy, diversity, pathogenesis, and applied aspects of microorganisms."
BIOL 418 - Marine Microbiology,3,"Biology, behavior and function of microorganisms in diverse marine habitats, roles in ecological processes. Laboratory: isolation, molecular and ecological approaches to microbial processes."
BIOL 433 - Microbial Ecology,3,"This course explores the biology, behavior, and function of microorganisms in natural environments with attention to their role in ecologically and environmentally significant processes. One weekend field-trip.
Co-listed with: BIOL 533. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
BIOL 433D - Microbial Ecology Discussion,1,"This discussion explores the biology, behavior, and function of microorganisms in natural environments (to be taken in conjunction with BIOL 433 lecture and lab).
Co-listed with: BIOL 533D. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
BIOL 434 - Population and Community Ecology,4,"The study of the structure and distribution of populations and communities. Topics include population viability modeling, metapopulation dynamics, mark-recapture techniques, species interactions, trophic dynamics, assembly rules, biodiversity, and conservation issues.
Co-listed with: BIOL 534. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
BIOL 448 - Biogeography,3,"Past/present geographic distribution of animal and plant groups. Emphasis on vertebrate animals and vascular plants.
Co-listed with: BIOL 548. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
BIOL 564 - Transmission and Scanning Electron Microscopy,4,"Transmission and scanning electron microscopy theory and technique. Preparation of materials, operation of electron microscopes, conduct an EM-based independent research project utilizing both systems."
OCN 109 - General Oceanography,3,"Extent of the oceans; chemical nature of sea water; causes/effects of currents, tides, and waves; animal and plant life in the sea; features of the ocean floor."
OCN 109L - General Oceanography Laboratory,1,"Introductory laboratory activities to develop understanding of fundamental concepts from geological, chemical, physical, and biological oceanography and the inter-relationship between those concepts."
SOIL 260 - Introduction to Soil Science,3,"Soil’s physical, chemical, and biological properties. Implications for land management. Identify soil parent materials; use soil survey reports."
BIOL 490 - Senior Thesis,1-2,Thesis based on student-designed project approved by advisor. Approval must occur before enrollment.
BIOL 499 - Directed Study,1-2,"Individual work for senior students showing special aptitude. Conference, reading, research."
