title,units,description
MUS 218 - Keyboard Musicianship,2,"Musical notation, rhythm, meter, key signatures, intervals, major and minor scales, intervals, triads and seventh chords, and their practical applications on the piano keyboard."
MUS 113 - Piano I,1,Class piano studies for music majors.
MUS 130 - Piano II,1,Class instruction for non-piano emphasis music majors.
MUS 330 - Piano III,1,"Piano accompaniments developed from chord symbols, notated melodies, or choral and instrumental music. Chord voicing, chord analysis, stylistic appropriateness."
MUS 219 - Foundations of Harmony,3,"Principles of diatonic and chromatic harmony.  Chord functions, chord spelling, lead sheets, and harmonic analysis of musical examples."
MUS 341 - Harmonic Connections: Voice Leading,3,Principles of voice leading and chord function applied to two-voice counterpoint and four-voice chorale-style and keyboard-style writing.
MUS 342 - Form and Analysis,3,"Analysis of musical forms - motives, phrases, invention, binary and ternary form, variation, rondo, fugue, sonata Form, isorhythmic motet, Romantic song forms, blues, song forms in popular music."
MUS 343 - Post-Tonal Theory,3,"th century techniques: tone rows, set theory, quartal harmony, polytonality, pandiatonicism, chance operations, modal writing, polymeters, and asymmetric meters."
MUS 344 - Jazz Harmony in Theory and Practice,3,"Major principles and concepts of jazz: jazz rhythm and various approaches to jazz harmony, including functional harmony, and blues and modal theories."
MUS 216 - Ear Training I,1,"Comprehensive ear training correlated to MUS 218; develop music reading and perception skills through studies in rhythm, sight singing, dictation, keyboard, and notation."
MUS 217 - Ear Training II,1,Continue development of skills introduced in Ear Training I.
MUS 316 - Ear Training III,1,"Develop music reading and perception skills through studies in rhythm (traditional, 20th century), sight singing (traditional, 20th century), dictation, and keyboard."
MUS 317 - Ear Training IV,1,Continues MUS 316.
MUS 104 - Exploring Classical Music: Music for Court and Stage,3,"Musical elements, styles, techniques, and forms of various musical periods. Lectures, recordings, concerts. Acquire greater understanding and enjoyment of classical music."
MUS 301 - Rock: An American Music,3,"Major artists and movements of rock music studied in social, historical, and musical contexts. Pioneers of the 50s through today’s rebellion, experimentation, and new trends."
MUS 302 - Music in World Culture,3,"Explores the musical traditions of African, Indian, Asian, Indonesian, Latin American, and Caribbean cultures compared in artistic, social, religious, and political contexts."
MUS 305 - Jazz: An American Art Form,3,"Uniquely American art form of jazz. African-American jazz innovators. Perspectives of history, society, performance, gender, and current trends. Lecture, listening, discussion."
MUS 444 - History of Music in European Tradition,4,"Survey of the history of music in the European Classical tradition.  Focus on the evolution of musical style with an emphasis on the significant musical characteristics of each style period.  Important composers and selected compositions will be examined in detail, while the context in which the music was created will also be studied."
MUS 106B - University Singers,1,Study/perform choral literature of many styles and periods. Occasional off-campus concerts. An audition is required.
MUS 106E - Opera Workshop,1,"Traditional and contemporary musical theatre repertoire: operetta, grand operas, chamber operas, and Broadway musicals. Prepare individual roles, ensembles, and scenes, culminating in public performance. An audition is required."
MUS 106F - Mad River Transit Singers,1,Study/perform jazz-idiom choral music. Stylistic interpretation; available literature. Occasional off-campus concerts. An audition is required.
MUS 106H - Wind Ensemble,1,Study/perform symphonic band and wind ensemble literature. Occasional off-campus concerts. An audition is required.
MUS 106J - AM Jazz Band,1,Performance ensemble for novice jazz instrumentalists. Perform jazz literature; study jazz techniques. An audition is required.
MUS 106K - Jazz Orchestra,1,Perform literature composed or arranged for large jazz ensemble. Stylistic interpretation; ensemble playing; study of literature. Occasional off-campus concerts.  There is no formal audition. Consent to enroll is based on interview.
MUS 106N - Humboldt Chorale,1,Study/ perform choral music of all periods. Emphasis on larger works. No formal audition. An interview is required.
MUS 106O - Humboldt Symphony,1,Study/ perform orchestral literature. Occasional off-campus concerts.
MUS 107B - Brass Chamber Music,1,Study/ perform brass chamber music of all eras.
MUS 107C - Calypso Band,1,Study/perform traditional and contemporary music for steelband.
MUS 107F - Woodwind Chamber Music,1,Study/perform woodwind chamber music of all eras.
MUS 107G - Guitar Chamber Music,1,Study/ perform guitar chamber music of all eras.
MUS 107H - Mariachi de Humboldt,1,"Explore, study, and perform various mariachi styles from Mexico. Open to beginning and experienced performers on violin, trumpet, voice, guitar, vihuela, and guitarrón."
MUS 107I - Intermediate Orchestra,1,Study/ perform orchestral music for less experienced players.
MUS 107J - Jazz Combos,1,Study/perform jazz combo music from all eras. An audition is required.
MUS 107P - Percussion Ensemble,1,Study/ perform traditional and contemporary music for percussion ensemble. An audition is required.
MUS 107Q - World Percussion Ensemble,1,Study/perform music for percussion ensembles from around the world.
MUS 107S - Chamber Music - Service Learning,1,"Study/perform chamber music from all eras. Perform for community partners, and assess and reflect on the experience."
MUS 107T - String Chamber Music,1,Study/ perform string chamber music from all eras.
MUS 107V - Madrigal Singers,1,Study/perform small ensemble vocal music with emphasis on music of the Renaissance.
MUS 353 - Accompanying,1,Keyboard accompanying for instrumental or vocal solos or groups.
MUS 406B - University Singers,1,"Study/perform choral literature of many styles and periods. Occasional off-campus concerts.
Cross-listed with: MUS 106B"
MUS 406E - Opera Workshop,1,"Traditional and contemporary musical theatre repertoire: operetta, grand operas, chamber operas, and Broadway musicals. Prepare individual roles, ensembles, and scenes, culminating in public performance.
Cross-listed with: MUS 106E"
MUS 406F - Mad River Transit Singers,1,"Study/perform jazz-idiom choral music. Stylistic interpretation; available literature. Occasional off-campus concerts.
Cross-listed with: MUS 106F"
MUS 406H - Wind Ensemble,1,"Study/perform symphonic band and wind ensemble literature. Occasional off-campus concerts.
Cross-listed with: MUS 106H"
MUS 406J - AM Jazz Band,1,"Performance ensemble for novice jazz instrumentalists. Perform jazz literature; study jazz techniques.
Cross-listed with: MUS 106J"
MUS 406K - Jazz Orchestra,1,"Perform literature composed or arranged for large jazz ensemble. Stylistic interpretation; ensemble playing; study of literature. Occasional off-campus concerts.
Cross-listed with: MUS 106K"
MUS 406N - Humboldt Chorale,1,"Study/ perform choral music of all periods. Emphasis on larger works. No formal audition.
Cross-listed with: MUS 106N"
MUS 406O - Humboldt Symphony,1,"Study/perform orchestral literature. Occasional off-campus concerts.
Cross-listed with: MUS 106O"
