title,units,description
FREN 107 - French Level III,4,"Review grammar essentials. Improve conversational, reading, and writing skills. Sociocultural institutions in the French world."
FREN 207 - French IV and Intro to Francophone Studies,4,Continued review of essentials of grammar. Read modern literary texts in French.
FREN 310 - Nouvelles en Français: Variable Topics,2-4,"Discussion in French of Francophone stories, cultural issues, and literary criticism. Topics vary by world region (e.g. le Viet-nam, le Canada, la France, les Caraibes) or theme (e.g. Femmes et Famille, La Democratisation, Tradition et Modernite, Les Jeunes). Units vary according to topic and class hours"
FREN 311 - French V and Stories from the Francophone World,4,"Intensive reexamination of French grammar and usage in Francophone texts. Techniques and terminology of literary and cultural criticism; Aural/oral, reading and composition practice analyzing diverse literary and cultural issues."
FREN 312 - French VI and (R)evolution in Modern French Literature,4,"Intensive reexamination of French grammar. Analysis of cultural and literary (r)evolution in modern French literary works, from the aftermath of the French Revolution to modern France. Text selections will vary."
FREN 314 - Cultural History Topics in Early French Masterpieces,4,"Introduces the major corpus of early French literature in the context of French cultural history, underscoring intersections of literature, ideology, and world views in cultural history. Special topics course."
FREN 340 - Topics in Francophone Culture,2-4,"Variable topics. Presents an in-depth view of an important cultural issue in the Francophone world, such as “Musique: Fete, Critique, Revolte,” “La Femme Africaine,” and “French Caribbean Identity and Citizenship.” Full-semester major course taught in French."
FREN 280 - French Conversation and Retreat,2-3,"Speak conversational French during the semester and plan, prepare and participate in a weekend language immersion retreat, complete with Francophone cuisine and French language activities."
FREN 300 - African Storytelling,3-4,"Critical reading and retelling of oral myth, epic and tales. Examination of the role of the West African storyteller (the griot). Spoken art’s influence on African cinema, short story and novel. Esthetic and cultural parallels between West African narratives and their European counterparts."
"FREN 306 - Sex, Class and Culture: Gender and Ethnic Issues in International Short Stories",3,"Gender and ethnic issues in French, German, and Spanish short stories by and about women. Readings, lectures, and discussions entirely in English.
Cross-listed with: GERM 306, SPAN 306, WS 306"
"GERM 306 - Sex, Class and Culture: Gender and Ethnic Issues in International Short Stories",3,"Gender and ethnic issues in French, German, and Spanish short stories by and about women. Readings, lectures, and discussions entirely in English.
Cross-listed with: FREN 306, SPAN 306, WS 306"
"SPAN 306 - Sex, Class and Culture: Gender and Ethnic Issues in International Short Stories",3,"Gender and ethnic issues in French, German, and Spanish short stories by and about women. Readings, lectures, and discussions entirely in English.
Cross-listed with: FREN 306, GERM 306, WS 306"
"WS 306 - Sex, Class and Culture: Gender and Ethnic Issues in International Short Stories",3,"Gender and ethnic issues in French, German, and Spanish short stories by and about women. Readings, lectures, and discussions entirely in English.
Cross-listed with: FREN 306, GERM 306, SPAN 306"
FREN 341 - Current Event Topics in the Francophone World,2,Variable topics present the most relevant current events and issues in the Francophone world. Examples include “Paris Suburbs Burning” and “Women and War in Africa.” Taught in French or English.
FREN 370 - French Weekend Retreat,1,Speak conversational French during a weekend language immersion retreat complete with Francophone cuisine and French-language activities.
FREN 390 - Topics in Cinema of the Francophone World,1-2,"Cinema from West and North Africa, France, Canada. Previous topics include “Cinema of Ousmane Sembene,” “African Women Filmmakers,” “French Colonialism: An Unfinished Business,” “North African Cinema from Within and Without,” “Murder in Paris.” One credit per weekend of films, discussion and assessment by essay. Course taught in English for the wider university public."
FREN 420 - French Peer Tutoring,1-3,"Under professor’s supervision, students work a minimum of 30 hours assisting individual or group lower-level French students with linguistic, communicative, and cultural activities conducted in French."
FREN 480 - Upper Division Seminar/Retreat,1-4,"Special topics seminars: Semester-long courses in language, literature or culture or shorter seminars, including creative writing, language and culture immersion courses, film seminars, retreats and international speaker series."
FREN 492 - Senior Honors Thesis or Project,3,Independent research project required for graduation with honors in French. Details determined in conference with faculty member after submitting written proposal the semester preceding graduation.
FREN 499 - Directed Study,1-4,Directed reading. Hours arranged.
