title,units,description
RS 101 - Peace & Justice Studies,3,"Introduces the burgeoning, interdisciplinary field of Peace & Justice Studies, using the tools of Critical Race, Gender, and Sexuality Studies and Religious Studies. Follows contemporary conflict, through Race, Class, Gender, Religion, and Nationalism. Evaluates experience-based and rules-based arguments for both conflict and peace-making.
Cross-listed with: CRGS 101"
RS 105 - World Religions,3,"Examines six of the following traditions in light of human quest for transcendence: Hinduism, Buddhism, Confucianism, Taoism, Shintoism, Zen, Judaism, Christianity, and Islam. Films augment lectures."
RS 104 - Asian Religions: Exploring Buddhism,3,"Introduction to Asian religions including how the life of Buddha impacted India, Tibet, China, Japan, and California. Myths, symbols, and rituals are included from Theravada, Mahayana, Vajrayana, and Zen."
"AHSS 201 - Evolution, Creation, and the Robot Apocalypse",3,"Are science and religion enemies, partners, or strangers? Galileo, Newton, Darwin, Einstein, and faith-leaders encourage critical thinking, lifelong-learning, and integrated self-development. College success skills will be developed in this course."
NAS 302W - Oral Literature and Oral Tradition,3,"Identify, interpret, and decipher native symbols depicted in tribal myths, legends, songs, art, oratory, poetry, prose."
RS 300W - Living Myths: War and Peace,3,"Examines how the nation’s “sacred stories” have developed in the context of war mobilization and anti-war movements, with special attention to the experience of diverse, often marginalized and embattled, populations. Organized according to America’s war eras, beginning with early colonialism and extending to the present. Foundational mythic themes - such as American exceptionalism, self-evident truths, and moral communities (e.g. “We the People), manifest destiny, and the frontier - are traced into modern experience, highlighting the development of the nation’s mythos through changing historical times."
RS 301 - Religion in America,3,"Surveys American religious diversity exploring the formative role played by religion in American identity, values, and experience, including critical topical issues from politics, sexuality, environment, education, terrorism etc."
RS 332 - Introduction to Islam,3,"Beliefs, institutions, sacred literature, history. Life of Muhammad, development of tradition in classical period, issues in modernity."
RS 341 - Spiritual Traditions of India,3,"In this course, exploration of images, temples, myth, poetry, meditation, devotion, and philosophy are woven together in a multidimensional approach to the exquisite spiritual traditions of Hinduism, Jainism, and Sikhism."
"RS 302W - Cults, Clubs, and New Religious Movements",3,"Explore belief, belonging, and behavior outside of traditional religious communities. What makes a cult, and how is it different from a new religious movement, or a club? Sports, politics, and doomsday cults: find them all here."
RS 304 - Cultural and Religious Heritage of Africa,3,"Study the cultural heritage of Africa through the themes of religion (traditional, Islam, Christianity), arts (music, dance, drums, cultural access), multilingualism, language and cultural identity, and the oral tradition."
RS 305W - Yoga: Spiritual Practice and Applied Health,3,"Explores the historical development of yoga with an eye to contemporary concerns: post-colonial perspectives, cultural appropriation, and secular yoga in the health and wellness industry."
RS 306 - Gods and Kings in the Ancient Near East,4,"History of the ancient cultures (Mesopotamian, Egyptian, Hebrew, Persian, Mycenaean) that provided the foundations for the emergence of classical western civilization including writing, kings, myths, states, laws, and monotheism.
Cross-listed with: HIST 306"
RS 361 - Environment and Religion,3,How religious practice questions/challenges consumerism. Underlying roots of consumerist mentality and its personal/environmental effects. Explore spiritual/religious foundations for sustainability and environmental health.
RS 391 - Religion in Tradition: Special Topics,3,Topics within religious tradition(s) with thematic focus or tradition overview.
"RS 393 - Religion in Myth, Culture and Experience: Special Topics",3,Thematic and/or comparative examination.
RS 394 - Religious Studies Workshop,1-3,"Experiential learning (participation). Topics vary. Focus is intensive, short term."
