title,units,description
CHEM 109 - General Chemistry I,5,"Fundamental concepts: chemical foundations, stoichiometry, chemical reactions, gases, thermochemistry, atomic theory, bonding, liquids, solutions. For students in science, engineering, and related majors."
CHEM 110 - General Chemistry II,5,"Fundamental concepts: kinetics; equilibrium; acids and bases; acid-base, solubility, and complex ion equilibria; entropy and free energy; electrochemistry; qualitative analysis. For students in science, engineering, and related majors."
MATH 107 - Introduction to Linear Algebra,3,"Euclidean spaces, matrices and matrix arithmetic, solving systems of equations, and eigenvalues and eigenvectors. Emphasis on applications and use of computation."
MATH 109 - Calculus I,4,"Limits, continuity, derivatives, integrals, and their applications."
MATH 110 - Calculus II,4,"Logarithmic and exponential functions, inverse trigonometric functions, techniques of integration, infinite sequences and series, conic sections, polar coordinates."
MATH 210 - Calculus III,4,Vectors; parametric equations; 3-dimensional analytic geometry; vector- valued functions; partial derivatives; multiple integrals; introduction to line integrals.
PHYX 109 - General Physics A: Mechanics,4,"Calculus-based, for science/engineering students."
"PHYX 210 - General Physics B: Thermodynamics, Waves and Optics",4,"Calculus-based, for science/ engineering students."
"PHYX 211 - General Physics C: Electricity, Magnetism",4,"Calculus-based, for science/ engineering students."
MATH 311 - Vector Calculus,2,"Vector fields; line and surface integrals; Green’s theorem, divergence theorem, Stokes’ theorem; applications."
MATH 313 - Ordinary Differential Equations,4,Systems and series solution methods; applications. Numerical and analytical techniques.
PHYX 320 - Modern Physics,3,"Atomic, solid state, nuclear, and particle physics."
PHYX 324 - Analytical Mechanics,4,"Principles and foundations of mechanics, from classical to modern ideas."
PHYX 325 - Thermal Physics,4,Elements of classical and statistical thermodynamics.
PHYX 340 - Mathematical and Computational Methods,2,"Numerical, symbolic and graphical programming and simulations, mathematical applications important to physicists."
PHYX 441 - Electricity and Magnetism I,3,"Vector analysis, electrostatics, magnetostatics and electrodynamics."
PHYX 442 - Electricity and Magnetism II,3,"Conservation laws, electromagnetic waves, potentials & fields, radiation and relativity."
PHYX 450 - Quantum Physics I,4,Quantum mechanics; introductory atomic physics.
PHYX 484 - Physics Seminar I,0.5,"This is the first of a two-semester sequence. Students are expected to develop the skills necessary to research, prepare and effectively deliver technical presentations to an audience of peers."
PHYX 485 - Physics Seminar II,0.5,"Seminar presentations by physics majors, faculty, and guest speakers. Capstone course. All physics majors are encouraged to attend the seminars."
PHYX 315 - Introduction to Electronics and Electronic Instrumentation,3,"Devices and circuits, both analog and digital, in science instrumentation. Construct amplifiers and digital circuits."
PHYX 316 - Electronic Instrumentation and Control Systems,4,Design/build electronic instruments. Direct interfacing of computers.
PHYX 462 - Senior Lab,2,Experiments for senior physics majors. Bridge gap between carefully structured lower division lab experiences and truly independent research and development.
MATH 344 - Linear Algebra,4,"Matrices, vector spaces, inner product spaces, linear transformations, canonical forms, eigenvalues, matrix factorization, numerical methods, applications."
MATH 442 - Abstract Algebra,4,"An introduction to algebraic structures including groups, rings, fields, and polynomial rings. Provides a solid foundation in these topics and a foundation for further study. Provide prospective secondary teachers with a general context in which the primary notions of secondary education algebra are unified."
PHYX 495 - Undergraduate Research,1-3,Individual investigation of selected problem.
