title,units,description
CHEM 109 - General Chemistry I,5,"Fundamental concepts: chemical foundations, stoichiometry, chemical reactions, gases, thermochemistry, atomic theory, bonding, liquids, solutions. For students in science, engineering, and related majors."
CHEM 110 - General Chemistry II,5,"Fundamental concepts: kinetics; equilibrium; acids and bases; acid-base, solubility, and complex ion equilibria; entropy and free energy; electrochemistry; qualitative analysis. For students in science, engineering, and related majors."
GEOL 109 - General Geology,4,"Physical geology. Origin and constitution of the earth, internal and external processes that determine crustal and surficial features, and methods in investigating and interpreting earth history."
GEOL 210 - Earth Systems History,3,"Evolution of Earth as an integrated system emphasizing the geological, climatological and biological forces that have shaped it, focusing on North America. Topics focused on geologic time scale and deep time, plate tectonic cycles, fossils and history of life, and the natural and anthropogenic climate history of the Earth."
MATH 109 - Calculus I,4,"Limits, continuity, derivatives, integrals, and their applications."
MATH 110 - Calculus II,4,"Logarithmic and exponential functions, inverse trigonometric functions, techniques of integration, infinite sequences and series, conic sections, polar coordinates."
MATH 210 - Calculus III,4,Vectors; parametric equations; 3-dimensional analytic geometry; vector- valued functions; partial derivatives; multiple integrals; introduction to line integrals.
STAT 108 - Elementary Statistics,3,"Rudimentary data collection, descriptive statistics of univariate and bivariate data, probability, random variables, discrete and continuous distributions. Foundational concepts of confidence intervals and hypothesis tests. Use and abuse of statistics."
STAT 108I - Elementary Statistics with Integrated Support,3,"Introductory statistics with integrated support to aid comprehension. Data collection, descriptive statistics, bivariate data, probability, probability distributions. Foundational concepts of confidence intervals and hypothesis tests. Use and abuse of statistics. Open to students in Math placement category III or IV."
STAT 109 - Introductory Biostatistics,4,"Descriptive statistics, probability, random variables, discrete and continuous distributions, confidence intervals, contingency tests, regression and correlation, tests of hypothesis, analysis of variance. Emphasis: methods and applications used in the biological and natural resource sciences."
PHYX 106 - College Physics: Mechanics and Heat,4,"Non-Calculus, for science majors. Mechanics, fluids, heat, sound."
PHYX 107 - College Physics: Electromagnetism and Modern Physics,4,"Non-Calculus, for science majors. Geometric optics, electricity, magnetism, electromagnetic waves, AC circuits, physical optics, relativity."
PHYX 109 - General Physics A: Mechanics,4,"Calculus-based, for science/engineering students."
"PHYX 210 - General Physics B: Thermodynamics, Waves and Optics",4,"Calculus-based, for science/ engineering students."
GEOL 306 - General Geomorphology,3,"Origin and development of landforms, landform classification, geomorphic processes. Methods of geomorphological analysis, topographic map interpretation, and aerial photo interpretation. May require two weekend field trips."
GEOL 312 - Earth Materials,4,"Description, identification, and classification of minerals and igneous, sedimentary, and metamorphic rocks in hand specimen. Occurrence and use of earth materials."
GEOL 314 - Petrology,4,"Composition, classification, and origin of igneous, metamorphic, and sedimentary rocks, emphasizing petrographic analysis of rocks in. Analysis and interpretation through thin section, geochemistry, and modeling. May require a multi-day field trip."
GEOL 332 - Sedimentary Geology,4,Identification and interpretation of sedimentary rocks and structures. Application of stratigraphic and dating methods in the earth sciences. Impact of climate and geologic processes on depositional patters and facies analysis. May require two weekend field trips.
GEOL 334 - Structural Geology,4,Describe and analyze structural features of rocks. Interpret the strain significance of structures. Fundamentals of plate tectonics. Tectonic analysis of regional geologic structure. May require weekend field trips. Field trip fees may be required.
GEOL 335 - Geologic Field Methods I,2,"In-class and weekend field projects, map literacy, compass orienteering and measurements, geologic mapping, field note-taking, field data interpretation, preparing stratigraphic columns and geologic cross-sections, technical report writing. May require an overnight trip and/or weekend field exercise."
GEOL 435 - Geologic Field Methods II,2,"In-class and weekend field projects include: map proficiency, advanced mapping of geological structures and lithological features on topographic maps and aerial photographs, geologic field notes, synthesis of field data with GIS analysis, measuring stratigraphic sections and developing geologic cross-sections, technical report writing. Multi-day field trips required."
GEOL 475 - Geology Field Camp,4,"Four weeks supervised field work in the western US. Principles/ methods for geological mapping. May include preparing maps, cross-sections, stratigraphic columns, written and oral geologic reports. Living expenses and a portion of camp expenses borne by student. Typically available only during summer."
GEOL 486 - Geology Research Methods,1,"Orientation to geology research, including developing a research topic and proposal, designing and planning research, bibliographic research and communication in oral and written format."
