title,units,description
MATH 102 - Algebra and Elementary Functions,4,"In-depth treatment of exponential, logarithmic, trigonometric, and polynomial functions."
MATH 101 - College Algebra,3,"Topics include algebraic equations and inequalities; polynomial, rational, algebraic, exponential, and logarithmic functions; compositions and inverses; geometric transformations and properties of functions; difference quotients."
MATH 101T - Trigonometry,3,"Trigonometric functions, their graphs, inverses and applications, radian measure, solving triangles, trigonometric identities and equations, laws of sines and cosines, polar coordinates, vectors."
MATH 109B - Calculus 1 Part 1,5,"Limits, continuity, derivatives, rates of change. First half of a two-semester sequence covering the same material covered in MATH 109 (Calculus 1) with just-in-time instruction for necessary algebra and trigonometry skills. Recommended for STEM students in Math placement category III or IV."
CS 111 - Computer Science Foundations 1,4,"Introductory programming covering problem decomposition, control structures, simple data structures, testing, and documentation. Students design and implement a number of programs."
CS 112 - Computer Science Foundations 2,4,"Object-oriented programming, focusing on classes, instances, methods, encapsulation, inheritance, overloading, multiple inheritance, and exception handling."
CS 201 - Requirements Engineering,4,"Discuss methods for clearly specifying and managing software requirements. Utilize formal requirement syntax, semantics, and theory. Complete team project(s). Produce technical documents and make formal presentations."
CS 211 - Data Structures,4,"Introduction to classic data structures and algorithms. Performance comparisons, big-O notation, trade-offs, arrays, linked lists, recursion, sorting, stacks, queues, trees, graphs, and hash tables."
CS 243 - Architecture,4,"Introduction to computer architecture including assembly language, computer arithmetic, performance measures, datapath, control, pipelining, and memory/storage design."
MATH 107 - Introduction to Linear Algebra,3,"Euclidean spaces, matrices and matrix arithmetic, solving systems of equations, and eigenvalues and eigenvectors. Emphasis on applications and use of computation."
MATH 109 - Calculus I,4,"Limits, continuity, derivatives, integrals, and their applications."
MATH 110 - Calculus II,4,"Logarithmic and exponential functions, inverse trigonometric functions, techniques of integration, infinite sequences and series, conic sections, polar coordinates."
MATH 253 - Discrete Mathematics,3,"Sets, functions, relations, algorithms, induction, recursion, combinatorics, graphs, trees, and propositional logic."
STAT 109 - Introductory Biostatistics,4,"Descriptive statistics, probability, random variables, discrete and continuous distributions, confidence intervals, contingency tests, regression and correlation, tests of hypothesis, analysis of variance. Emphasis: methods and applications used in the biological and natural resource sciences."
CS 312 - Algorithms,4,"Introduction to algorithmic thinking. Recurrences and solution techniques, fundamental algorithms including graph algorithms, algorithm design techniques, balanced trees, performance trade-offs."
CS 325 - Database Design,4,"Introduction to database design and implementation. Relational model, entity-relationship model and diagrams, converting a model to a schema, elementary Structured Query Language (SQL), normalization."
CS 328 - Web-Apps Using Databases,4,Building applications atop databases. N-tiered architecture; database tier: stored procedures/functions; presentation tier: web GUIs; application tier: controlling web-to-database interactions.
CS 356 - Software Design Engineering,3,"Learn and practice software development lifecycle: secure design, modeling, architecture, verification and validation. Complete team projects, produce technical documents, and make formal presentations."
CS 357 - Software Project Management,4,"Learn principles and practices of project management, including resource management, risk management, project manager responsibilities, and team building. Complete team projects, produce technical documents, and make formal presentations."
CS 374 - Operating Systems,4,"Introduction to operating systems with an emphasis on process synchronization and control. Synchronization, kernel structure, scheduling, deadlock, virtual and physical memory, file and I/O."
CS 375 - Systems Programing,4,"Develop and debug complex programs using debuggers, profilers, source version control systems, and integrated development environments. Analyze execution on modern computers. Measure and optimize performance. Complete team projects, produce technical documents, and make formal presentations."
CS 453 - Software Quality Assurance,3,"Learn to assess and assure software quality with respect to client needs and software requirements specifications. Hands-on experience through field activities including client consultation. Complete team projects, produce technical documents, and make formal presentations."
CS 449 - Computer Security,4,"Introduction to central concepts of computer security on networked systems. Topics include threats, cryptography, authentication, operating systems in security, legal and privacy issues."
CS 459 - Software Engineering Senior Project,3,"Apply techniques from previous courses while working with actual clients to develop robust, ethical, and effective software.  Provide solutions for environmental and sustainability issues as well as cultural and socio-economic problems. Class is enhanced by seminars, tutorials, field activities, and client consultation, and culminates in a significant team project."
CS 232 - Python Programming,3,"Introduction to the Python language. Idiomatic language features such as lists, dictionaries, tuples, and sets. Use of Python classes and modules to accomplish complex tasks."
CS 235 - Java Programming,3,"Object-oriented programming; event handling; abstract windowing toolkit applets, applications; Java database connectivity; applications programming interface and Java doc."
CS 279 - Introduction to Linux,4,"Introduces the UNIX/Linux family of operating systems. Basic commands, utilities, system structures, scripting and tools are explored. Elements of system administration are presented."
CS 346 - Telecommunications and Networks,4,"Introduction to the fundamentals of telecommunication and to the structure, implementation, and theoretical underpinnings of computer networking."
CS 444 - Robotics,4,"A project-based introduction to robotic systems and software that controls them, including gearing, mechanics, Al control systems, and problem solving with robots."
CS 461 - Computational Models,4,"An introduction to the Chomsky hierarchy, automata, Church- Turing Thesis, computability, NP-completeness, and information theory."
CS 480 - Advanced Topics in Computing,1-3,Advanced topics in computer science.
