title,units,description
INTL 210 - Introduction to International Studies,4,"Introduction to the multi-disciplinary field of International Studies, with preparation for further coursework in the major. Examines development of modern world through diverse analytical lenses."
INTL 220 - Introduction to Cultural Studies,3,"Topics studied include culture and imperialism/ cultural imperialism; orientalism and the politics of representation; (post) colonialism; cultural appropriation, hybridity, and syncretism; diasporic, transnational, cosmopolitan, and border cultures; “global” pop culture."
INTL 320 - Career Workshop,1,"Career planning, networking, resume, cover letter, internship and job search, working a room."
INTL 387 - International Education Colloquium,1,"Earn credit by attending International Education Week events and participating in an online discussion forum. Mandatory pre-event meeting.
Cross-listed with: ANTH 387, COMM 387, ECON 387, GEOG 387, HIST 387, PSCI 387"
INTL 410W - Global Issues Analysis,4,"Interdisciplinary analysis of global issues bridging the perspectives of politics, economics, and culture with an emphasis on research and writing skills in the service of critical analysis."
INTL 490 - International Studies Capstone,3,Students synthesize and apply the student learning outcomes in the program in preparation for career or graduate studies.
ECON 305 - International Economics and Globalization,3,"Economic theories of trade and finance. Evaluate effects of world trading system and globalization. Debate role of international institutions (WTO & IMF). Case studies on free trade areas, financial crises, protectionist policies, and labor/environmental issues. Economics and business administration majors MUST co-enroll in ECON 305D."
ECON 306W - Economics of the Developing World,3,"Explore economic theory underlying development policies. Evaluate World Bank and IMF policy. Case studies covering poverty, inequality, trade and growth policy, debt issues, health, education, population, sustainable development, women in agriculture. Economics and business administration majors MUST co-enroll in ECON 306D."
PSCI 240 - Introduction to International Relations,4,"Examination of institutional, economic, security, and environmental relations between and among nations. Basic concepts, theory and methods of the subfield. Required for political science majors."
GEOG 363 - Political Geography,3,World survey of spatial variation and interrelationships of political phenomena within a political region.
ANTH 318 - Ethnography,4,Problems and techniques of describing culture and representing the “other.” Critical look at the process and politics of descriptions anthropologists craft.
CRGS 390W - Theory and Methods,4,"Introduces critical social theories informing Ethnic, Women’s and Multicultural Queer Studies. Explores workings of power, construction of the subject, dynamics of resistance, and conceptual bases of liberation movements. Emphasis rotates."
GEOG 311W - Geographic Research and Writing,3,"Overview of discipline and profession. Use of library resources, research tools. Emphases: geographic methodologies, academic writing, presenting. Research paper and presentation on regional topic."
HIST 210 - Historical Methods,4,Nature of history; historical consciousness; historians’ craft; use of primary/secondary sources. Recommended first course in the major. One of four units is individualized instruction on assigned essay. History majors must take HIST 210 before taking upper division major courses.
ANTH 307 - World Heritage and Archaeology,3,Studies of diverse human values and social systems embedded in cultures of a world region through investigations in archaeology and/or cultural anthropology.
ANTH 390 - World Regions Cultural Seminar,4,"Culture, values, and social interaction in cultures of a world region (North America, Latin America, Oceania, Asia, Africa). Analyze cultural integration, contact, change, and development in historical and contemporary contexts."
GEOG 472 - Topics in Regional Geography,1-4,Specialized consideration of selected world regions.
HIST 107 - East Asian History to 1644,3,"China, Korea, and Japan from prehistory to 1644. Early China, Japan, Korea, and Vietnam: their history and arts."
HIST 108 - East Asian Civilization Since 1644,3,"China, Japan, Korea, and Vietnam from 1644 to the present, emphasizing the maturing of East Asian civilization as it encountered the West."
HIST 329 - Imperial China,4,"Through lectures, readings, discussions, and research assignments, Imperial China provides students with an intensive introduction to Chinese history from the Bronze Age through the Ming Dynasty."
HIST 338 - Modern Chinese History,4,Political/ social events from Opium Wars to the present.
PHIL 345 - Philosophies of China,3,"Classic texts in Taoism, Confucianism, Buddhism, and I Ching. Focus on unifying concepts amid differences. Compare to Western philosophies. China encountering multiculturalism from within and without."
PSCI 376 - Multilateralism and the United Nations System,2,The dynamics of multilateral diplomacy and international relations with an emphasis on the United Nations and its subsidiary and ancillary organizations.
PSCI 377 - Model United Nations,1,"Delegate preparation for and participation in intercollegiate Model UN, emphasizing the art of lobbying, negotiation, bargaining, and international diplomacy."
ANTH 499 - Independent Study,1-4,Selected topics based on student interests and goals within the realm of anthropology.
GEOG 411W - Senior Field Research,4,"Techniques of field observation, sampling, and analysis using mapping procedures and the interview. Focus on a particular field problem with report writing as part of the experience."
