title,units,description
BIOL 105 - Principles of Biology,4,"Fundamental processes of life. Structure and function of cells, genetics, evolution, and ecology."
BOT 105 - General Botany,4,"Structure, function, reproduction, life cycles, and phylogenetic relationships of major plant groups. Relationships of plants to other organisms and to human activities."
ZOOL 110 - Introductory Zoology,4,"Structure, function, evolution, and diversity of major groups of animals."
CHEM 109 - General Chemistry I,5,"Fundamental concepts: chemical foundations, stoichiometry, chemical reactions, gases, thermochemistry, atomic theory, bonding, liquids, solutions. For students in science, engineering, and related majors."
CHEM 110 - General Chemistry II,5,"Fundamental concepts: kinetics; equilibrium; acids and bases; acid-base, solubility, and complex ion equilibria; entropy and free energy; electrochemistry; qualitative analysis. For students in science, engineering, and related majors."
MATH 105 - Calculus for the Biological Sciences and Natural Resources,3,"Differential and integral calculus. Apply to biological sciences, including exponential growth and decay."
MATH 215 - Multivariate Calculus for the Biological Sciences and Natural Resources,3,"Differential equations, partial derivatives, double integrals, and curve fitting techniques; vectors; applications."
MATH 109 - Calculus I,4,"Limits, continuity, derivatives, integrals, and their applications."
MATH 110 - Calculus II,4,"Logarithmic and exponential functions, inverse trigonometric functions, techniques of integration, infinite sequences and series, conic sections, polar coordinates."
MATH 210 - Calculus III,4,Vectors; parametric equations; 3-dimensional analytic geometry; vector- valued functions; partial derivatives; multiple integrals; introduction to line integrals.
PHYX 106 - College Physics: Mechanics and Heat,4,"Non-Calculus, for science majors. Mechanics, fluids, heat, sound."
PHYX 107 - College Physics: Electromagnetism and Modern Physics,4,"Non-Calculus, for science majors. Geometric optics, electricity, magnetism, electromagnetic waves, AC circuits, physical optics, relativity."
PHYX 109 - General Physics A: Mechanics,4,"Calculus-based, for science/engineering students."
"PHYX 210 - General Physics B: Thermodynamics, Waves and Optics",4,"Calculus-based, for science/ engineering students."
"PHYX 211 - General Physics C: Electricity, Magnetism",4,"Calculus-based, for science/ engineering students."
BIOL 340 - Genetics,4,"Principles of heredity; nature and function of genetic material, with quantitative analyses; genetic constitution of populations."
CHEM 323 - Nuclear Magnetic Resonance Spectroscopy (NMR) Techniques,1,Operate NMR spectrometer; prepare samples. Individual projects.
CHEM 324 - Organic Chemistry I,3,"First semester of a one-year sequence. Chemical bonding, chemical structure, spectroscopy, physical properties, stereochemistry, reaction mechanisms, and synthesis."
CHEM 324L - Organic Chemistry I Laboratory,2,"First semester of a year-long sequence. Laboratory techniques, library skills, and synthesis."
CHEM 325 - Organic Chemistry II,3,"Second semester of a one-year sequence. Chemical bonding, chemical structure, spectroscopy, physical properties, stereochemistry, reaction mechanisms, and synthesis."
CHEM 325L - Organic Chemistry II Laboratory,2,"Second semester of a year-long sequence. Laboratory techniques, spectroscopy, library skills, unknown analysis, and synthesis."
CHEM 341 - Quantitative Analysis,5,Principles and methods of classical chemical analysis. Introduction to instrumental methods. For chemistry majors and others who require a rigorous treatment of solution equilibria and training in precise quantitative lab techniques.
CHEM 361 - Physical Chemistry I,3,Application of quantitative mathematical methods to fundamental chemical systems: equilibrium thermodynamics and chemical kinetics.
CHEM 434 - Biochemistry I,3,"First semester lecture of a one-year sequence. Biochemical energetics, introductory metabolism, nature and mechanism of action of enzymes."
CHEM 434L - Biochemistry I Laboratory,2,First semester of a one-year sequence. Laboratory techniques.
CHEM 435 - Biochemistry II,3,"The second semester lecture of a one-year sequence. Biochemical energetics, introductory metabolism, nature and mechanism of action of enzymes."
CHEM 435L - Biochemistry II Laboratory,2,"Second semester of a one-year lab sequence. Biochemical energetics, introductory metabolism, nature and mechanism of action of enzymes."
CHEM 485 - Seminar in Chemistry,1,Seminar presentations on current chemistry topics by majors with senior standing in chemistry. Capstone course. All chemistry majors are encouraged to attend.
CHEM 310 - Inorganic Chemistry I,3,"Advanced concepts: nuclear properties, molecular symmetry, bonding, metallic and ionic solids, acids and bases, oxidation-reduction, non-aqueous media, chemistry and organometallic compounds of the representative elements."
CHEM 362 - Physical Chemistry II,3,"Application of quantitative mathematical methods to fundamental chemical systems: quantum theory, spectroscopy, and statistical thermodynamics."
CHEM 441 - Instrumental Analysis,4,Principles and methods. For chemistry majors and others requiring training in instrumental techniques of analysis.
BIOL 350 - Cell Biology,3,"Study of the structure and function of cells with emphases in biochemistry, molecular biology, and physiology, and methods used to address relevant questions in the field."
BIOL 412 - General Microbiology,4,"Natural history and importance of bacteria, archaea, and viruses. Structure, growth, metabolism, genetics, taxonomy, diversity, pathogenesis, and applied aspects of microorganisms."
BIOL 440 - Molecular Genetics Lab,2,"Experiments in modern and classical genetics, using a variety of organisms."
BIOL 450 - Cell Biology Laboratory,2,"Experiments in modern and classical cellular and molecular biology, cellular physiology, and biochemistry of cells using cell culture models."
BOT 310 - General Plant Physiology,4,"Plant growth, development, reproduction, metabolism, photosynthesis, soil/water relations, inorganic nutrition, and translocation. Quantitative analysis of physiological functions."
ZOOL 310 - Animal Physiology,4,Comparative organ system physiology of animals. Adaptive strategies.
ZOOL 312 - Human Physiology,4,"Physiological chemistry, cell physiology, and physiology of major organ systems of the human body."
BIOL 426 - Bioinformatics,4,"Computational methods used to analyze genetic and genomic data. Emphasis: applications in phylogenomics, gene regulation, molecular structure and function, and database mining.
Co-listed with: BIOL 526. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
BIOL 544 - Stem Cell Biology,2,"Stem cell biology, maintenance, differentiation, and applications to science and medicine. Includes extensive review and analysis of primary scientific literature. Discussion topics will include regenerative medicine, science policy, and ethics."
BIOL 544L - Stem Cell Biology Lab,2,"Training in laboratory methods of embryonic stem cell culture maintenance, characterization, and differentiation."
BIOL 564 - Transmission and Scanning Electron Microscopy,4,"Transmission and scanning electron microscopy theory and technique. Preparation of materials, operation of electron microscopes, conduct an EM-based independent research project utilizing both systems."
CHEM 326 - Natural Products Chemistry,4,A comprehensive introduction to the classes of natural products and biosynthetic pathways of substances produced by natural sources. Isolation and characterization methods and the importance of natural products in the drug discovery process will be explored.
CHEM 330 - Molecular Modeling,3,"Apply molecular modeling and computational chemistry methods (semiempirical, ab initio, and density functional) to problems in organic and inorganic chemistry, biochemistry, and molecular biology."
CHEM 335 - Forensic Chemistry,4,Methods of forensic science and criminalistics will be introduced with a focus on forensic chemistry and toxicology for the use in solving crimes. DNA and RNA isolation and analysis as well as methods for the detection of trace drugs and toxins in biological samples will be covered.
CHEM 363 - Physical Chemistry II Lab,2,"Experimental application of quantitative mathematical methods to fundamental chemical systems: laboratory investigations in equilibrium thermodynamics, chemical kinetics, quantum theory, spectroscopy, and statistical thermodynamics."
CHEM 370 - Earth System Chemistry,3,"Chemistry of the earth, including elemental cycling and speciation in the environment, the impact of man on biogeochemical processes, and the effects of climate change on the chemical/physical interactions occurring within and between the atmosphere, hydrosphere, and biosphere."
"CHEM 436 - Biochemistry III, Advanced Topics in Biochemistry",3,"A deeper exploration of selected topics in biochemistry. Topics covered will expand upon concepts from Biochemistry I and II and provide students with a greater understanding of the importance of biochemistry to medicine, biotechnology, nanotechnology or other scientific disciplines.
Co-listed with: CHEM 536"
"CHEM 437 - Biosensors, Biomaterials and Bionanotechnology",3,"An examination and introduction to fields at the intersection of materials, nanoscience and biomolecules. Including biosensor development, bionanotechnology for drug delivery and biomolecule stabilization, the use of biomolecules in biorenewable materials, and the development of biocompatible materials for medical, environmental, and bioremediation purposes.  Advanced laboratory techniques in biomaterial synthesis and characterization."
CHEM 440 - Introduction to Medicinal Chemistry,3,"An introduction to modern methods in drug discovery, design, and synthesis as well as drug delivery and interactions with biological targets and screening assays. Focuses on drug structural interactions, pharmacokinetics, and pharmacodynamics including distribution and metabolic decomposition."
CHEM 495 - Undergraduate Research,1-3,"Individual investigation of selected problem. Conference, reading, research. Final written report. For students showing outstanding ability."
