title,units,description
BIOL 105 - Principles of Biology,4,"Fundamental processes of life. Structure and function of cells, genetics, evolution, and ecology."
CHEM 109 - General Chemistry I,5,"Fundamental concepts: chemical foundations, stoichiometry, chemical reactions, gases, thermochemistry, atomic theory, bonding, liquids, solutions. For students in science, engineering, and related majors."
CHEM 110 - General Chemistry II,5,"Fundamental concepts: kinetics; equilibrium; acids and bases; acid-base, solubility, and complex ion equilibria; entropy and free energy; electrochemistry; qualitative analysis. For students in science, engineering, and related majors."
ENGR 115 - Introduction to Engineering,3,"Case studies in water quality, water resources, energy resources, and mechanical systems."
ENGR 205 - Introduction to Design,3,"Engineering design process through real client-based projects iterating from opportunity identification, empathy building and research through to creative problem solving, analysis and testing. Special emphasis on teamwork, time management, and communication that includes public speaking to a range of audiences. Introduction to spreadsheets, word documents, and computer-aided design."
ENGR 210 - Solid Mechanics: Statics,3,Particle and rigid body equilibrium; vector concepts; equivalent systems of forces; centroids; moments of inertia; friction.
ENGR 225 - Computational Methods for Engineering I,3,Introduction to computer computational methods for engineering analysis and design using Python and other programming languages.
ENGR 226 - Computational Methods for Engineering II,3,"Introduction to numerical methods for engineering analysis, design and resource management using Python and other programming languages."
MATH 109 - Calculus I,4,"Limits, continuity, derivatives, integrals, and their applications."
MATH 110 - Calculus II,4,"Logarithmic and exponential functions, inverse trigonometric functions, techniques of integration, infinite sequences and series, conic sections, polar coordinates."
MATH 210 - Calculus III,4,Vectors; parametric equations; 3-dimensional analytic geometry; vector- valued functions; partial derivatives; multiple integrals; introduction to line integrals.
PHYX 109 - General Physics A: Mechanics,4,"Calculus-based, for science/engineering students."
"PHYX 211 - General Physics C: Electricity, Magnetism",4,"Calculus-based, for science/ engineering students."
ENGR 112 - First-Year Seminar Engineering,1,"Introduce students to functions and resources of the university and support a successful transition to engineering and college. Transition curriculum in this course will integrate guest lectures, discussion, student reflection projects, computer labs, and help sessions. It is strongly recommended, although not required, that this course be taken concurrently with ENGR 115."
ENGR 123 - Engineering Fabrication,1,"Safety procedures and the use of machine shop tools including bench, layout, precision measurement, power saws, drill presses, rotary tables, indexing devices, lathe, mill cutting, and hand tools."
ENGR 280 - Selected Topics in Engineering,1-3,Selected topics offered at the lower division level as demand warrants.
ENGR 313 - Systems Analysis,3,"Microeconomics, systems analysis, and math modeling, linear and nonlinear optimization. Case studies in resource management. Engineering design applications."
ENGR 322 - Risk and Data Analysis for Engineers,4,"Introduction to probability theory, probabilistic models, and stochastic processes. Parameter estimation and model evaluation for environmental and technological systems models with applications in engineering."
ENGR 326 - Computational Methods for Engineering III,3,Analytical and numerical methods for ordinary and partial differential equations used in engineering analysis and design.
ENGR 330 - Mechanics and Science of Materials,3,"Physical properties of materials. Analyze stresses and deformations involving elastic behavior of materials. Tension, compression, torsion, and flexure. Combined stresses, static indeterminacy. Beams of two materials. Engineering design applications. Engineering majors are strongly encouraged to complete this course before taking 400-level ENGR courses."
ENGR 331 - Thermodynamics and Energy Systems I,3,Thermodynamics’ 1st and 2nd laws; thermodynamic properties of materials; thermodynamic processes; system and control volume analysis; application to energy systems.
ENGR 333 - Fluid Mechanics,4,"Fluid properties; fluid statics; flow concepts; control volume analysis; continuity; energy and momentum concepts; boundary layer concepts; drag theory, flow measurements; flow in pipes/ducts; open channel flow; dimensional analysis and similitude. Engineering design applications."
