title,units,description
CHEM 109 - General Chemistry I,5,"Fundamental concepts: chemical foundations, stoichiometry, chemical reactions, gases, thermochemistry, atomic theory, bonding, liquids, solutions. For students in science, engineering, and related majors."
ENGR 115 - Introduction to Engineering,3,"Case studies in water quality, water resources, energy resources, and mechanical systems."
ENGR 123 - Engineering Fabrication,1,"Safety procedures and the use of machine shop tools including bench, layout, precision measurement, power saws, drill presses, rotary tables, indexing devices, lathe, mill cutting, and hand tools."
ENGR 205 - Introduction to Design,3,"Engineering design process through real client-based projects iterating from opportunity identification, empathy building and research through to creative problem solving, analysis and testing. Special emphasis on teamwork, time management, and communication that includes public speaking to a range of audiences. Introduction to spreadsheets, word documents, and computer-aided design."
ENGR 210 - Solid Mechanics: Statics,3,Particle and rigid body equilibrium; vector concepts; equivalent systems of forces; centroids; moments of inertia; friction.
ENGR 225 - Computational Methods for Engineering I,3,Introduction to computer computational methods for engineering analysis and design using Python and other programming languages.
ENGR 226 - Computational Methods for Engineering II,3,"Introduction to numerical methods for engineering analysis, design and resource management using Python and other programming languages."
MATH 109 - Calculus I,4,"Limits, continuity, derivatives, integrals, and their applications."
MATH 110 - Calculus II,4,"Logarithmic and exponential functions, inverse trigonometric functions, techniques of integration, infinite sequences and series, conic sections, polar coordinates."
MATH 210 - Calculus III,4,Vectors; parametric equations; 3-dimensional analytic geometry; vector- valued functions; partial derivatives; multiple integrals; introduction to line integrals.
PHYX 109 - General Physics A: Mechanics,4,"Calculus-based, for science/engineering students."
"PHYX 211 - General Physics C: Electricity, Magnetism",4,"Calculus-based, for science/ engineering students."
PHYX 315 - Introduction to Electronics and Electronic Instrumentation,3,"Devices and circuits, both analog and digital, in science instrumentation. Construct amplifiers and digital circuits."
ENGR 313 - Systems Analysis,3,"Microeconomics, systems analysis, and math modeling, linear and nonlinear optimization. Case studies in resource management. Engineering design applications."
ENGR 317 - Dynamic Systems and Vibrations,3,Introduction to Newtonian dynamics of rigid bodies; applications to engineering design. Kinematics and dynamics of particles and rigid bodies; conservation laws; vibrations of single degree of freedom systems. Hands-on labs.
ENGR 322 - Risk and Data Analysis for Engineers,4,"Introduction to probability theory, probabilistic models, and stochastic processes. Parameter estimation and model evaluation for environmental and technological systems models with applications in engineering."
ENGR 326 - Computational Methods for Engineering III,3,Analytical and numerical methods for ordinary and partial differential equations used in engineering analysis and design.
ENGR 330 - Mechanics and Science of Materials,3,"Physical properties of materials. Analyze stresses and deformations involving elastic behavior of materials. Tension, compression, torsion, and flexure. Combined stresses, static indeterminacy. Beams of two materials. Engineering design applications. Engineering majors are strongly encouraged to complete this course before taking 400-level ENGR courses."
ENGR 331 - Thermodynamics and Energy Systems I,3,Thermodynamics’ 1st and 2nd laws; thermodynamic properties of materials; thermodynamic processes; system and control volume analysis; application to energy systems.
ENGR 333 - Fluid Mechanics,4,"Fluid properties; fluid statics; flow concepts; control volume analysis; continuity; energy and momentum concepts; boundary layer concepts; drag theory, flow measurements; flow in pipes/ducts; open channel flow; dimensional analysis and similitude. Engineering design applications."
ENGR 417 - Heat and Mass Transport Processes,3,"Theory of heat and mass transport and applications in energy and mechanical systems. Conduction, convection, radiation, diffusion, reaction kinetics, ideal reactor models."
ENGR 430 - Manufacturing I,3,"Basic manufacturing processes, principles and capabilities, material selection and trade-offs, material removal, joining, assembly, 3D printing and casting. Numerically controlled, measurement and gaging, statistical methods. Concepts reinforced with hands-on labs."
"ENGR 464 - Measurements, Instrumentation, and Control",3,"Principles and practice of industrial and laboratory measurement. Calibration and dynamics of instruments; performance analysis of sensor systems; theory of transducers for motion, force, pressure, flow, and more. Concepts reinforced with hands-on labs."
ENGR 465 - Machine Design,3,"Design of mechanical elements, planar machines, pressure vessels, joints, rotating and transmission elements. Failure theories. Graphical, analytical, and numerical analysis. Synthesis of linkages, gear trains, flywheels. Hands-on labs."
ENGR 492B - Mechanical Engineering Capstone Design I,2,"First semester capstone course including background research, and design development for a final capstone project. Should be taken in the last year of the major."
ENGR 492CW - Mechanical Engineering Capstone Design II,3,"Final capstone course including design and implementation of the solution developed in ENGR 492B - Mechanical Engineering Capstone Design I. Should be taken in the last year of the major, preferably in the final semester."
ENGR 112 - First-Year Seminar Engineering,1,"Introduce students to functions and resources of the university and support a successful transition to engineering and college. Transition curriculum in this course will integrate guest lectures, discussion, student reflection projects, computer labs, and help sessions. It is strongly recommended, although not required, that this course be taken concurrently with ENGR 115."
ENGR 280 - Selected Topics in Engineering,1-3,Selected topics offered at the lower division level as demand warrants.
BIOL 104 - General Biology,3,Principles of modern biology. Emphasis on aspects of biology rapidly reshaping our culture. Not intended for majors in life sciences or natural resources.
BIOL 105 - Principles of Biology,4,"Fundamental processes of life. Structure and function of cells, genetics, evolution, and ecology."
SOIL 104 - Introduction to Sustainable Agriculture,3,"The course provides an understanding of the complex relationships among crop plants, domesticated animals, and their abiotic and biotic environment, and the requirements for sustainable agriculture."
ENGR 421 - Advanced Numerical Methods for Engineers I,3,"Finite difference and finite element methods for linear and nonlinear partial differential equations; simulation of flow, mass and energy transport in environmental systems; large scale parameter estimation methods. Engineering design applications."
ENGR 433 - Advanced Manufacturing Processes,3,"Additive manufacturing: principles, materials, equipment, design, process flow, post processing, and applications. Process selection, environment considerations, safety, and cost analysis for manufacturing. Hands-on labs."
ENGR 462 - Mechatronics,3,Mechatronic design methodology. Microprocessor applications in product design and machine control. Applied electronics. Drive technology; transducers and electromechanical systems. Hands-on labs.
ENGR 468 - Materials Processes,3,Quantitative treatment of materials selection for engineering applications. Discussion of design and material selection strategy; process and process selection strategy; process economics; life-cycle thinking and eco-design. Hands-on labs.
ENGR 471 - Thermodynamics and Energy Systems II,3,"Continues ENGR 331. Applications of 2nd law of thermodynamics. Irreversibility, availability, power and refrigeration cycles, combustion, and phase equilibria. Engineering design applications."
ENGR 418 - Applied Hydraulics,3,"Pipe networks; transient pipe flow; open channel flow; irrigation, drainage, and flood control; numerical methods for hydraulic analysis. Engineering design applications.
Co-listed with: ENGR 518. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
ENGR 434 - Air Quality Management,3,"Nature, causes, and effects of air pollution; air quality standards, their measurement and control; Gaussian Plume model; particulate and gaseous pollutant control devices. Engineering design applications.
Co-listed with: ENGR 534. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
ENGR 473 - Building Energy Analysis,3,"Thermodynamics applied to energy analysis of buildings. Heating and ventilating systems; lighting; building envelopes; process loads. Analyze campus buildings. Engineering design applications.
Co-listed with: ENGR 573. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
ENGR 475 - Renewable Energy Power Systems,3,"Principles of hydro, wind, and photovoltaic power production and systems. Engineering design applications.
Co-listed with: ENGR 575. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
ENGR 478 - Electricity Grids and Distributed Renewable Energy,3,"Foundations and topics in the design and operation of electric power systems (“the Grid”), integrating renewable electricity generation with the grid, and distributed energy systems with generation, storage, and demand-side management.
Co-listed with: ENGR 578 (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
ENGR 481 - Selected Topics with Engineering Design,3,Selected topics as demand warrants.
ENGR 498 - Directed Design Project,1-3,"Directed (independent) application of engineering design process to develop a system, process or management plan."
