title,units,description
MATH 101 - College Algebra,3,"Topics include algebraic equations and inequalities; polynomial, rational, algebraic, exponential, and logarithmic functions; compositions and inverses; geometric transformations and properties of functions; difference quotients."
MATH 101T - Trigonometry,3,"Trigonometric functions, their graphs, inverses and applications, radian measure, solving triangles, trigonometric identities and equations, laws of sines and cosines, polar coordinates, vectors."
MATH 102 - Algebra and Elementary Functions,4,"In-depth treatment of exponential, logarithmic, trigonometric, and polynomial functions."
MATH 109B - Calculus 1 Part 1,5,"Limits, continuity, derivatives, rates of change. First half of a two-semester sequence covering the same material covered in MATH 109 (Calculus 1) with just-in-time instruction for necessary algebra and trigonometry skills. Recommended for STEM students in Math placement category III or IV."
CS 111 - Computer Science Foundations 1,4,"Introductory programming covering problem decomposition, control structures, simple data structures, testing, and documentation. Students design and implement a number of programs."
DATA 111 - Introduction to Programming and Computational Thinking for Data Science,4,"Intertwines three perspectives: inferential thinking, computational thinking, and real-world relevance. Explore real data to understand relationships and patterns while learning critical skills in computer programming and basic statistical inference."
DATA 271 - Data Wrangling and Visualization,4,"Provides an intensive, hands-on introduction to data wrangling, cleaning and visualization using a contemporary programming language. Learn the fundamental skills required to acquire, transform, manipulate, and visualize data in a computing environment that fosters reproducibility. The overall goal is to create actionable data from raw sources and then perform exploratory analysis. These steps will include importing data, viewing data diagnostically, identifying outliers, imputing data, cleaning data, calculating basic statistics and creating informative plots."
MATH 107 - Introduction to Linear Algebra,3,"Euclidean spaces, matrices and matrix arithmetic, solving systems of equations, and eigenvalues and eigenvectors. Emphasis on applications and use of computation."
MATH 109 - Calculus I,4,"Limits, continuity, derivatives, integrals, and their applications."
MATH 110 - Calculus II,4,"Logarithmic and exponential functions, inverse trigonometric functions, techniques of integration, infinite sequences and series, conic sections, polar coordinates."
STAT 109 - Introductory Biostatistics,4,"Descriptive statistics, probability, random variables, discrete and continuous distributions, confidence intervals, contingency tests, regression and correlation, tests of hypothesis, analysis of variance. Emphasis: methods and applications used in the biological and natural resource sciences."
CS 325 - Database Design,4,"Introduction to database design and implementation. Relational model, entity-relationship model and diagrams, converting a model to a schema, elementary Structured Query Language (SQL), normalization."
DATA 311 - Applied Data Analysis,4,"This team- and project-based course provides an opportunity to work through the entire data analysis pipeline in an applied context. Three modules cover (1) cleaning and exploring data, (2) visualizing data and (3) prediction, validation and uncertainty estimation. Students will advance written and verbal communication skills by reporting their findings."
Machine Learning for Data Science,4,"A broad introduction to machine learning, data mining, and statistical pattern recognition. Topics include: (i) Supervised learning (ii), Unsupervised learning and (iii) Best practices in machine learning. The course draws from numerous case studies and applications, with a practical rather than theoretical emphasis."
DATA 422 - Advanced Data Science Methods and Ethics,4,"A treatment of advanced topics in Data Science. Topics include: (i) Privacy and Ethics, (ii) Multivariate Statistics, (iii) Big Data and Cloud Computing and (iv) Deep Learning. The course will draw from numerous case studies and applications, with a practical rather than theoretical emphasis."
DATA 450W - Data Science Capstone,3,"Semester-long, student-led Data Science group project culminating in a written and an oral presentation. Projects explore an area of application. Preparation for professional life after graduation, including graduate school attendance, working as a Data Scientist, or other quantitative careers."
STAT 323 - Probability Theory and Mathematical Statistics,4,"Probability axioms; probability distributions of discrete and continuous random variables and their properties; concepts of marginal and conditional probability. Mathematical expectation; moments and moment generating functions. Likelihood and statistical estimation, data analysis using software. Emphasis: mathematical theory."
STAT 333 - Linear Regression Models/ANOVA,4,"Linear regression, analysis of variance, and other linear models applied to experimental and observational studies. course emphasizes model formulation, assumptions, selection, and interpretation in both hypothesis-testing and descriptive contexts."
STAT 404 - Multivariate Statistics,4,"Explore and model multivariate systems. Matrix algebra, correlation matrices, principal components, common factors, canonical correlation. Use and interpret computer-assisted analysis.
Co-listed with: STAT 504. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
STAT 406 - Sampling Design and Analysis,4,"Randomized sample surveys are used for natural resource monitoring, election polling, plant abundance estimation, and other purposes. This course presents approaches to sample selection and to inference/estimation from sample data.
Co-listed with: STAT 506. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
STAT 410 - Modern Statistical Modeling,4,"Contemporary methods in statistics that provide tools for analyzing complex datasets: generalized linear modeling, model selection strategies, Bayesian statistical analysis and inference, mixed effects modeling, and ARIMA time series analysis.
Co-listed with: STAT 510. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
