title,units,description
JMC 105 - Introduction to Mass Communication,3,"Explore the transformations in mass communication, examining the technological innovations and social, cultural and political impacts of media on individuals and society. From the advent of the printing press to wireless radio and television transmissions, mass communication is explored mainly from the perspective of consumers and how they relate to media."
JMC 120 - Beginning Reporting,3,"Learn and practice the basic skills of reporting, interviewing and journalistic storytelling for a wide variety of audiences. Improve your writing and oral communication skills and become a more organized thinker about content. Prerequisite for several journalism courses."
JMC 107 - Media Tools: Literacy in Action,3,"Create online media content to communicate a personal media literacy journey. Pursue practices of critical thinking, from identifying fallacies to fact-checking sources, to become responsible media consumers."
JMC 134 - Photojournalism,3,Gain a foundation of digital photography while documenting the world around you. Learn Adobe Photoshop editing software to optimize your images for publication. Students will photograph people and events and learn to compose compelling images applying the ethical and legal principles in the photojournalism profession.
JMC 150 - Media Design,3,"Gain critical knowledge and skills in typography, layout and graphic design using Adobe Illustrator and InDesign to create a portfolio of projects useful for careers in news, public relations, advertising and business."
JMC 154 - Radio and Audio Production,3,"Get hands-on learning in multitrack digital audio production essential for careers in radio, television, filmmaking, podcasting, music mixing and documentary. Learn microphone technique, broadcast sound board operation and writing for the student-run radio station KRFH, 105.1FM. Class may be taken concurrently with JMC 155  KRFH On Air Workshop."
JMC 155 - KRFH On Air Workshop,1,"Be a DJ and create live weekly music, talk, sports or other shows on KRFH, the student-run radio station broadcasting at 105.1 FM and on KRFH.net. Students learn all aspects of working at a radio station by being a part of a management team. 
Cross-listed with: JMC 355"
JMC 156 - Video Production,3,Experience hands-on learning and produce videos that will capture the audience’s attention. Learn basic skills in field camera production and Adobe Premiere Pro editing. Work on a variety of video projects with a message of social justice and environmental responsibility.
JMC 160 - El Leñador News,2,"Work as a reporter, photographer, designer, translator, copyeditor, or in another role to produce El Leñador, the student English/Spanish newspaper and website with stories that matter to the Latinx and diverse communities. Open to all majors. Spanish not required to participate."
JMC 327 - Lumberjack News Workshop,2,"Work as a reporter, photographer, designer, editor or in another role to produce content for The Lumberjack. You can have your voice heard and practice the skills necessary to ensure a free press."
JMC 328 - Media Law,3,"Discover the laws that protect the rights of the public and the media. Explore the First Amendment and issues of copyright, privacy, defamation, indecency and public access to governmental meetings and documents."
JMC 332W - Media Ethics,3,"An examination of ethical issues in news, advertising, public relations, and the entertainment industry."
JMC 480 - Special Topics,3,"Selected media topics that change each semester. Offerings include environmental journalism, investigative journalism, sports journalism, war reporting, parody news, food and travel storytelling, opinion writing, media and social change, covering challenging topics, and more. Check the class schedule or contact the department for the current topic."
JMC 325 - Osprey Magazine Production,2,"Work as a writer, editor, layout designer, photographer or in another role and collaborate with other student staff members to create and publish the Osprey general feature magazine. Not repeatable for journalism major credit."
JMC 333 - Radio News Workshop,2,"Broadcast the news live on the air on the student campus radio station KRFH 105.1 FM. Practice gathering information, writing, editing and producing news stories on deadline for live radio audience."
JMC 355 - Advanced KRFH On Air Workshop,2,"Work as a manager, take a leadership or mentoring role and broadcast live on the air on the student-run radio station KRFH 105.1 FM and KRFH.net. Open to all majors. Course is not repeatable for major credit.
Cross-listed with: JMC 155"
JMC 360 - Advanced El Leñador News,2,"Take on a leadership position with El Leñador and practice advanced reporting and storytelling to produce the student monthly English/Spanish newspaper and website that creates news that matters to the Latinx and diverse communities. Develop professional skills, build your portfolio. Open to all majors, Spanish not required to participate."
JMC 427 - Advanced Lumberjack News Workshop,2,"Work on The Lumberjack newspaper staff in a leadership position as a manager or editor or practice other advanced reporting and storytelling techniques using multimedia. Build your portfolio, boost your resume and practice the skills necessary to ensure democracy and a free press."
JMC 482 - Media Internship,1-3,Gain professional on-the-job learning experience related to your career interest in a media-related position. Learn relevant skills and network with potential employers.
JMC 490 - Seminar in Journalism,1-4,"Selected problem, topic, or area treated more intensively than in other offerings."
JMC 305 - Global Media and Society,3,"Diversify knowledge of the global media landscape by examining international cross-cultural communications and the role of international media in social, political, technological and economic change."
JMC 318 - Media Research,3,"Learn about research methods including public opinion polls, focus groups, interviews and textual analysis. Design original research projects on environmental and social justice in the current media landscape."
JMC 306 - Mass Media History,3,"Explore media history from the perspective of black, brown and LGBTQIA+ media producers. Introduction to early black movie producers, newspapers created in 1940s Japanese-American prison camps and the first gay magazine that helped change postal service censorship laws."
JMC 309 - Analyzing Media Messages,3,"Analyze contexts and influence of media messages in music, film, social media and other forms to improve our media literacy and to better understand the human condition."
JMC 323 - Public Relations,3,"Learn fundamentals of strategic communication, brand-building, audience engagement and content creation to prepare for a career in public relations, communications, marketing, community relations and advocacy."
JMC 354 - Media Advertising,3,"Examine the advertising profession and how it relates to social, ethical and behavioral contexts. Create advertising campaigns and explore creative development and account management. Course prepares students for careers in advertising, marketing, public relations and media."
