title,units,description
BIOL 104 - General Biology,3,Principles of modern biology. Emphasis on aspects of biology rapidly reshaping our culture. Not intended for majors in life sciences or natural resources.
CD 209 - Middle Childhood Development,3,Development of family/social context. Focus on children 7-12 years old. Biological and environmental influences determining normative and individual development. Interpret theories and research.
COMM 100 - Fundamentals of Speech Communication,3,Introductory course. Develop oral communication abilities for functioning effectively in various settings. Fundamental communication theory.
COMM 103 - Critical Listening and Thinking,3,"From listener’s (consumer’s) perspective, apply reasoned inquiry in evaluating marketplace communication."
ENGL 104 - Accelerated Composition and Rhetoric,3,"Accelerated writing course emphasizing rhetorical knowledge, writing in multiple genres, critical thinking, and writing as a socially situated practice. Writing workshop, research, collaboration, and revision. Culminates in writing portfolio."
"ENGL 105 - Literature, Media and Culture",3,"Study written, visual, and musical genres, with an emphasis on understanding their role as texts in culture. Develop skills and understanding as a thoughtful reader, viewer, and listener."
ES 105 - Introduction to U.S. Ethnic Studies,3,"Comparative history of racialized groups in the U.S., with particular emphases on the manner in which race, ethnicity, class, and gender inform this history."
ES 106 - Introduction to Black Studies,3,"Course examines literature, music, dance, and film produced by people of African descent in the US. Studies race, class, and gender to assess similarities and differences in the Black experience."
ES 107 - Chican@/Latinx Lives,3,Chican@/Latinx cultural production and its relationship: to U.S. culture; to other U.S. ethnic and racial groups; and to Latin American homelands. Readings focus on writers from various Latinx groups.
GEOL 109 - General Geology,4,"Physical geology. Origin and constitution of the earth, internal and external processes that determine crustal and surficial features, and methods in investigating and interpreting earth history."
HIST 104 - Western Civilization to 1650,3,"Origin and growth of human communities in the Western world. Development of various social and political organizations, cultural milieu, and relationships to the rest of the world."
HIST 110 - United States History to 1877,3,"Selected topics. Sources and conditioning factors of American social, political, and economic systems to 1877. Meets requirement in US history established by California legislature."
MATH 103 - Mathematics as a Liberal Art,3,"Development of quantitative reasoning through ways mathematics uses quantitative, geometrical, algebraic, and statistical thinking in problem solving."
MATH 103I - Mathematics as a Liberal Art with Integrated Support,3,"Integrated support for development of quantitative reasoning through ways mathematics uses quantitative, geometrical, algebraic and statistical thinking in problem solving. Open to students in Math placement category III or IV."
MATH 3 - Support for Mathematics as a Liberal Art,1,Integrated support for development of quantitative reasoning Mathematics as a Liberal Art (MATH 103I). No degree credit.
MUS 204 - Music in the K-8 Classroom,3,Prepares pre-service teachers for effective delivery of general music lessons in the elementary self-contained classroom. Designed primarily for LSEE majors; music majors should take MUS 319  instead.
PSCI 110 - American Government,3,"Political values, institutions, and patterns of influence in law and governance, including relations among the nation, tribes, and the state of California. Meets requirement in “US Constitution and California state and local government” established by legislature."
TA 105 - Acting 1: Principles of Performance,3,"Theatre games, improvisation, movement, voice. Techniques applicable first to the individual and second to principles of performance in film and theatre."
ART 307 - Arts Integration in the Elementary Classroom,3,"Introduces prospective elementary teachers to the processes of creating, critiquing, and historically and culturally contextualizing visual arts methods and traditions for integration in the elementary (K-5) classroom. Coursework will prepare students for the development of California Arts Standards (CAS)-based lesson plans for integration in California schools."
CD 310 - Perspectives: History and Theory,3,History and theory with respect to US families and the institutions that serve them. Intellectual paradigms examined and related to sociocultural context and child development practices.
DANC 354 - Teaching of Dance,2,Learn basic tenets of teaching dance in a variety of settings. Integrate pedagogical knowledge with various dance techniques and creative skills. Learn how to organize and adapt lesson plans to the diverse interests and abilities of learners.
"LSEE 308 - Algebra, Geometry, and Data in the Elementary Classroom",3,"Solid foundation for elementary school teaching focusing on the complementary development of symbol sense (algebra), spatial (geometry) and data sense (probability and statistics)."
LSEE 313 - Science for Elementary Education,3,"Survey content course of the four domains of science taught to K-8 public school students with fieldwork in elementary school classrooms. Topics in life, physical, earth and space science as well as engineering and design."
LSEE 317 - Number Sense and Operations in Elementary School Math,3,"Improve facility with, appreciation of, and understanding of mathematics to build a solid foundation for elementary school teaching with a focus on number sense."
LSEE 475 - Health and Physical Education,3,Develop knowledge and skills to teach and evaluate health/physical education programs for elementary classrooms through observation and participation in classroom activities.
CD 257 - Supervised Work with Children I,4,Build relationships and communication skills as a foundation for guidance. Create safe and healthy learning environments in a group setting.
CD 350 - Perspectives: Life-Span Development,3,The study of biological and environmental influences on normative and individual development across the life-span. Impact of diverse experiences on child development. Interpretation of theories and research.
CD 354 - Methods of Observation,3,Observational strategies and their advantages/disadvantages. Historical background. Standard observational devices. Ethical issues. Summarize and interpret observational records.
CD 355 - Language Development,3,Milestones in speech and language development from birth through adolescence. Theory; factors influencing acquisition and competency; language delays/disorders and their assessment and intervention.
CD 356 - Curriculum Development for Early Childhood,3,Plan developmentally appropriate curriculum for early childhood programs (preschool through 3rd grade). Apply cognitive developmental theory to classroom. Plan activities; select equipment and materials; prepare goals and objectives.
CD 357 - Early Literacy,3,Review principles. Analyze theoretical approaches to facilitating literacy. Examine literary resources.
CD 358 - Supervised Work with Children II,4,Analyze and implement a constructionist approach with children. Developmental theory; role of adult in facilitating learning; interactive environments; group dynamics.
CD 366 - Exceptional Children and Their Families,3,"Historical aspects, terminology, factors having an impact on family dynamics, legislation, and intervention models."
CD 446 - Structure and Content of Children’s Thinking,3,Current models for understanding intellectual processes in children. Apply models to thinking/learning processes in liberal arts content areas. Focus on children 5-12.
CD 469W - Contemporary Issues in Child Development,3,"Define issues, trace historical antecedents, recognize underlying assumptions, organize relevant facts, draw warranted conclusions. Seminar format."
CD 479 - Policy Analysis and Advocacy,3,Analyze public/private policies affecting families. Methods of influencing family policy development.
CD 482 - Directed Field Experience/Internship,1-4,Supervised community field work integrating theory into practice. Arrange prior to semester enrolled.
HIST 200 - World Cultures and History: Prehistory to 1500 CE,3,"Survey of different world cultures from prehistory to 1500 CE, with a focus on the major events, trends, religions, political structures, social structures, economic development and cross-cultural interactions throughout the world.  Particular attention is paid to human migrations, the effects of cultural adaptation, as well as the evolution of civilizations around the globe."
LSEE 314 - Science for Elementary Education Field Practicum,1,Fieldwork during the junior year of LSEE includes tutoring and small group instruction while attending to children’s socioeconomic and cultural backgrounds. Fieldwork is aligned with specific course goals and objectives of LSEE 313 and the needs of the participating elementary or middle school.
LSEE 318 - Number Sense and Operations in Elementary School Math Practicum,1,Fieldwork during the junior year of LSEE includes tutoring and small group instruction while attending to children’s socioeconomic and cultural backgrounds. Fieldwork is aligned with specific course goals and objectives of LSEE 317 and the needs of the participating elementary or middle school.
"LSEE 319 - Algebra, Geometry, and Data in the Elementary Classroom Practicum",1,Fieldwork during the junior year of LSEE includes tutoring and small group instruction while attending to children’s socioeconomic and cultural backgrounds. Fieldwork is aligned with specific course goals and objectives of LSEE 308 and the needs of the participating elementary or middle school.
